cause,effect,sentence,source
capitalism,racism,"Du Bois believed that capitalism was a primary cause of racism, and he was generally sympathetic to socialist causes throughout his life.",wikipedia_sentence
alcoholism,early_death,"Olson's life was marred by alcoholism, which contributed to his early death from liver cancer.",wikipedia_sentence
alcoholism,complications,"Freddy Trump Jr. predeceased his parents, dying at 42 of complications associated with alcoholism.",wikipedia_sentence
crime,conviction,"Before the crime that led to her conviction and transfer to Alabama's death row, Block published Liberatis, a political magazine.",wikipedia_sentence
alcoholism,divorce,"His alcoholism and fiscal irresponsibility eventually led to their divorce, and Garrett and her mother lived in a series of residential hotels in order to minimize expenses.",wikipedia_sentence
alcoholism,thiamine_deficiency,,wikipedia_infobox
alcoholism,poverty,"Alcoholism was seen to cause poverty, and all types of social problems: alcohol was the enemy of everything good that modernity and science had to offer.",wikipedia_sentence
crime,harm,"""Restorative justice is a fast-growing state, national, and international social movement that seeks to bring together people to address the harm caused by crime,"" write Mark Umbreit and Marilyn Peterson Armour.",wikipedia_sentence
pollution,habitat_loss,"Instead, habitat loss and degradation due to human activities and pollution threaten common seadragons most.",wikipedia_sentence
capitalism,alienation,Marx believed that alienation is a systematic result of capitalism.,wikipedia_sentence
sea_level_rise,inundation,"In small islands and mega deltas, inundation as a result of sea level rise is expected to threaten vital infrastructure and human settlements.",wikipedia_sentence
sea_level_rise,coastal_erosion,Coastal erosion may be the result of sea level rise or deficit in sedimentary equilibrium.,wikipedia_sentence
prostitution,violence,"Their focus is often on the experiences and harms of prostitution, such as the violence associated with prostitution, the sexually transmitted disease risks of prostitution, and the effects of prostitution on families and communities.",wikipedia_sentence
sea_level_rise,flooding,"Sea level rise, alterations in water flow caused by water management practices in South Florida, and natural processes such as hurricanes, have caused water level changes and flooding, reducing available habitat.",wikipedia_sentence
crime,pregnancy,"Tennessee was previously one of 31 states that allowed a rapist, whose crime resulted in pregnancy, to sue the survivor for custody of said child.",wikipedia_sentence
capitalism,wars,"Capitalism has often been thought by antimilitarist literature to be a major cause of wars, an influence which has been theorized by Vladimir Lenin and Rosa Luxemburg under the name of ""imperialism"".",wikipedia_sentence
terrorism,deaths,"In 2017 alone, nearly three-quarters of all deaths caused by terrorism were in just five countries: Afghanistan, Iraq, Nigeria, Somalia and Syria.",wikipedia_sentence
pollution,catastrophic_climate_change,"In a lawsuit organized by activist organization Our Children's Trust, a group of plaintiffs aged 8–19 sued the U. S. Federal Government, claiming ""the government has known for decades that carbon dioxide (CO2) pollution has been causing catastrophic climate change and has failed to take necessary action to curtail fossil fuel emissions.""",wikipedia_sentence
pollution,eutrophication,"Specifically 25-35% of Long Island Sounds tidal wetlands have been dredged, filled, and developed over and hypoxia and eutrophication resulting from pollution have lead to low dissolved oxygen levels (less that 4.8 mg of oxygen per liter) in the water.",wikipedia_sentence
alcoholism,deficiency,"In Western nations, the most common causes of such a deficiency are alcoholism and eating disorders.",wikipedia_sentence
petrol,fire,"Despite reports that petrol was the cause of the fire, the truck that was hit was a diesel truck.",wikipedia_sentence
alcoholism,liver_damage,The metabolic effects of liver damage associated with alcoholism may also contribute to the development of alcoholic polyneuropathy.,wikipedia_sentence
alcoholism,nutritional_deficiencies,"Alcoholism is normally associated with nutritional deficiencies, which may contribute to the development of alcoholic polyneuropathy.",wikipedia_sentence
alcoholism,liver_failure,"The first book in particular contains autobiographical elements—Hamilton worked in London pubs before becoming a successful writer, was infatuated with a prostitute at that time, and eventually died of liver failure caused by alcoholism.",wikipedia_sentence
pollution,habitat_degradation,"Neotropical otters are threatened by habitat degradation associated with: agriculture, soil compaction, pollution, roadways, and runoff.",wikipedia_sentence
crime,death_of_another_person,Unlawful act is when a person commits a crime that unintentionally results in the death of another person.,wikipedia_sentence
pollution,algal_blooms,"Global warming and pollution is causing algal blooms to form in places previously considered ""impossible"" or rare for them to exist, such as under the ice sheets in the Arctic, in Antarctica, the Himalayan Mountains, the Rocky Mountains, and in the Sierra Nevada Mountains.",wikipedia_sentence
terrorism,losses,"North’s war risks class provides cover for losses caused by war or terrorism in respect of physical loss or damage to the entered ship, P&I liabilities and losses incurred as a consequence of an entered ship being blocked or trapped in an area of conflict.",wikipedia_sentence
pollution,environmental_degradation,"This species is endangered by environmental degradation due to pollution, water extraction for drinking and irrigation, mineral extraction, and associated erosion.",wikipedia_sentence
pornography,violence_against_women,"By contrast, Andrea Dworkin saw Sade as the exemplary woman-hating pornographer, supporting her theory that pornography inevitably leads to violence against women.",wikipedia_sentence
sea_level_rise,erosion,Sea level rise will cause increased coastal flooding and erosion.,wikipedia_sentence
crime,financial_loss,"Under the Act on Compensation for Crime Damage, victims of crime could receive government compensation for personal injury, damage to property, or other financial loss caused by a crime.",wikipedia_sentence
terrorism,injuries,There are four factors counted in each country's yearly score:\n\n\n Total number of terrorist incidents in a given year\n Total number of fatalities caused by terrorism in a given year\n Total number of injuries caused by terrorism in a given year\n The approximate level of total property damage from terrorist incidents in a given year\n\nEach of the factors is weighted differently and a five-year weighted average is applied to importantly reflect the lingering psychological effect of terrorist acts over time.,wikipedia_sentence
capitalism,problem,Then it is simply asserted that capitalism is the cause of this problem.,wikipedia_sentence
crime,loss_of_life,"A report by the German Federal Criminal Police Office on crime in the context of immigration found that immigrants were responsible for; 16.6% of all theft, 10% of fraud, 11% of all violent crime, 7.6% of drug crime, 9.1% of sexual crimes and 15% of all crime resulting in loss of life.",wikipedia_sentence
alcoholism,heart_failure,"On April 1, 1940, Ed's father George died of heart failure caused by his alcoholism; he was 66 years old.",wikipedia_sentence
tax,increase,"A key question surrounding the FairTax is whether the tax has the ability to be revenue-neutral; that is, whether the tax would result in an increase or reduction in overall federal tax revenues.",wikipedia_sentence
sea_level_rise,beach_erosion,"Wallops Island is currently experiencing beach erosion of 10 to 22 feet (3 to 7 meters) a year, due in part to the current sea level rise; some access roads and parking lots have had to be rebuilt several times over the past five years.",wikipedia_sentence
pollution,environmental_issues,"The collaborating artists comment on environmental issues caused by pollution, abandonment, and negligence that needs to be addressed.",wikipedia_sentence
pornography,harms,"Throughout the late 1970s and early 1980s, Women Against Pornography focused on educational campaigns to raise awareness of what they viewed as the harms caused by pornography and the sex industry.",wikipedia_sentence
terrorism,crash,"On 24 February 2016, Egyptian President Abdel Fattah el-Sisi acknowledged that terrorism caused the crash.",wikipedia_sentence
pollution,serious_problems,"Serious problems resulting from pollution have plagued the Map Ta Phut Industrial Estate in Rayong, an industrial zone for petrochemical and heavy industries that has suffered from heavy metal and organophosphates poisoning.",wikipedia_sentence
crime,great_bodily_injury,"""Under California law, the elements of the completed crime of making threats with intent to terrorize are: (1) willfully threatening to commit a crime that will result in death or great bodily injury to another person, (2) specific intent that the statement be taken as a threat, (3) the threat was on its face and under the circumstances so unequivocal, unconditional, immediate, and specific as to convey to the person threatened a gravity of purpose and an immediate prospect of execution of the threat, (4) the threat caused the victim to be in sustained fear for his or her own safety or for his or her immediate family's safety, and (5) the victim's fear was reasonable under the circumstances.""",wikipedia_sentence
alcoholism,diseases,"Digital Learning, a magazine on education, described the non-formal education experiment by EVF in Jharkhand from 1986 to 1995–96 as ""extraordinary"", noting that literacy rate in Jharkhand doubled in this period, and diseases caused by unhygienic practices, witchcraft and alcoholism declined sharply.",wikipedia_sentence
alcoholism,brain_damage,"It has been shown to be a selective dopaminergic neurotoxin, and has been suggested as a possible cause of neurodegenerative conditions such as Parkinson's disease and the brain damage associated with alcoholism, although evidence for a causal relationship is unclear.",wikipedia_sentence
pornography,harm,"Yet, research and experience increasingly show that pornography does cause harm: to one’s relationship with God, to human relationships, to the user, to those in the industry and to society in general.""",wikipedia_sentence
capitalism,social_inequality,"Social inequality and unfair distribution of wealth, are often attributed to capitalism and a pure free market is built upon a principle of rewarding effort.",wikipedia_sentence
crime,costs,"Furthermore, substance abuse costs our nation more than $484 billion per year through lost earnings, health care expenditures, and costs associated with crime and accidents.This issue is also a pressing concern with our service men and women.",wikipedia_sentence
crime,outrage,The crime caused outrage and led to unprecedented criticism of ETA in its Basque heartland.,wikipedia_sentence
slavery,suffering,Many of the songs discuss freedom or coping with the suffering associated with slavery.,wikipedia_sentence
pornography,masturbation,1986 – Church seventy Theodore Burton stated in an address to the BYU student body that pornography leads to masturbation and is an evil that takes a considerable amount of time to repent of.,wikipedia_sentence
alcoholism,suicide,,wikipedia_infobox
slavery,disunion,Slavery was a major cause of disunion.,wikipedia_sentence
crime,conflict,What one group considers a crime may cause or ignite war or conflict.,wikipedia_sentence
subluxation,disease,"According to Daniel D. Palmer, the founder of chiropractic, subluxation is the sole cause of disease and manipulation is the cure for all diseases of the human race.",wikipedia_sentence
capitalism,women_'s_oppression,"Marxist feminism argues that capitalism is the root cause of women's oppression, and that discrimination against women in domestic life and employment is an effect of capitalist ideologies.",wikipedia_sentence
slavery,racism,"Some considered blacks physically and mentally inferior to whites, and others believed that the racism and societal polarization resulting from slavery were insurmountable obstacles for integration of the races.",wikipedia_sentence
alcoholism,magnesium_deficiency,Alcoholism is often associated with magnesium deficiency.,wikipedia_sentence
crime,concern,"By the 1970s, crime and blighted urban areas were a serious cause of concern, New York City being particularly affected.",wikipedia_sentence
alcoholism,condition,"Pitts died in 1969 of bleeding esophageal varices, a condition usually associated with cirrhosis and alcoholism.",wikipedia_sentence
alcoholism,nervous_breakdown,"In 1936, alcoholism and overwork led to a nervous breakdown.",wikipedia_sentence
crime,gangs,Azcapotzalco is ranked 9th of 16 municipalities in reported crime which is often associated with gangs and the use of drugs.,wikipedia_sentence
slavery,secession_crisis,"In the speech, he states that slavery was the cause of the secession crisis, and outlines the principal differences between Confederate ideology and U.S. ideology:\n\n\n\nIn July 1863, as decisive campaigns were fought at Gettysburg and Vicksburg, Republican senator Charles Sumner re-dedicated his speech The Barbarism of Slavery and said that desire to preserve slavery was the sole cause of the war:\n\n\n\nLincoln's war goals were reactions to the war, as opposed to causes.",wikipedia_sentence
pollution,financial_loss,"It showed that the financial loss caused by pollution was 511.8 billion yuan ($66.3 billion), or 3.05 percent of the nation's economy.",wikipedia_sentence
alcoholism,problems_with_family,"Alcoholism affects physical and mental health, and can cause problems with family, friends, and work.",wikipedia_sentence
alcoholism,illness,"Following his reelection, Jennings developed jaundice, an illness often caused by alcoholism, but he recovered.",wikipedia_sentence
tax,capital_flight,"The article gave examples of how the tax caused capital flight, brain drain, loss of jobs, and, ultimately, a net loss in tax revenue.",wikipedia_sentence
illegal_drugs,harm,"Many of the paraphernalia and complements sold in smart shops reduce, in one way or another, the harm associated with illegal drugs.",wikipedia_sentence
truth,harm,"After fending off an angry mob of Vaskans intent on destroying what they now know to be a museum of false history, the Doctor initially wishes to abandon his quest to set the 700-year-old historical record straight and says that the truth may cause more harm and violence.",wikipedia_sentence
prostitution,problems,"Like many other countries, the UK has sex workers' rights groups, which argue that the best solution for the problems associated with prostitution is decriminalisation.",wikipedia_sentence
pollution,costs,When the costs associated with pollution are factored in it was competitive with coal- and gas-fired power stations even then.,wikipedia_sentence
pollution,desertification,"Civilization II is a strategy game released in 1996, in which the pollution created by industrial production and transportation, if left unchecked, leads to desertification.",wikipedia_sentence
pollution,loss_of_habitat,"It is threatened by a loss of habitat due to pollution, siltation and drainage as agriculture expands in the Lake Victoria basin, by overfishing on their breeding migrations and by introduced alien fish.",wikipedia_sentence
pollution,injuries,"This can include the costs of brownfield restoration and cleanup, liability for injuries and deaths caused by pollution.",wikipedia_sentence
pollution,changes_in_the_environment,"They play an important role in the decomposition process, aid in recycling of nutrients in marine environments, and are sensitive to changes in the environment caused by pollution.",wikipedia_sentence
pornography,sex_crimes,"The Commission controversially claimed that pornography caused sex crimes, despite the contention to the contrary of social scientists.",wikipedia_sentence
capitalism,social_injustice,"During this period her appreciation  crystallised that ""capitalism was the cause of social injustice"".",wikipedia_sentence
pollution,eutrophication_of_the_lake,"Human activity and pollution during the 20th century led to eutrophication of the lake, a process in which bacterial and algal levels increase in a body of water.",wikipedia_sentence
terrorism,explosion,"According to authorities, neither terrorism or an intentional crime was the cause of the explosion, though criminal negligence was being investigated.",wikipedia_sentence
tax,layoffs,"The idea that they can afford to do that but 'must lay off workers' should make every Philadelphian very skeptical of whether these layoffs are actually due to the tax.""",wikipedia_sentence
sea_level_rise,increased_coastal_flooding,Sea level rise will cause increased coastal flooding and erosion.,wikipedia_sentence
pollution,hospitalizations,"At the time pollution was thought to cause 1,000 deaths and 35,000 hospitalizations per year.",wikipedia_sentence
pollution,economic_damage,"Besides human and environmental damage, pollution has caused economic damage as well; Delhi may have lost the competition to host the 2014 Asian Games because of its poor environment.",wikipedia_sentence
sea_level_rise,coastal_flooding,This therefore indicates that coastal flooding associated with sea level rise will become a significant issue into the next 100 years especially as human populations continue to grow and occupy the coastal zone.,wikipedia_sentence
prostitution,crimes,"In addition to crimes associated with prostitution, the trafficking of women, largely to China, for forced marriage remains a problem in Burma.",wikipedia_sentence
alcoholism,medical_complications,"Described by her daughter Virginia as a ""style icon"", she died aged 60 after several suicide attempts and having suffered medical complications caused by alcoholism.",wikipedia_sentence
alcoholism,avascular_necrosis,,wikipedia_infobox
armenian_genocide,effective_end_to_the_residential_diocese,"The Armenian Genocide brought an effective end to the residential diocese, which was only formally  suppressed in 1972 and instantly transformed into an Armenian Catholic titular bishopric.",wikipedia_sentence
capitalism,environmental_damage,"The first part of the book covered the major scientific and technical advances of the century; the second part covered what Wallace considered to be its social failures including: the destruction and waste of wars and arms races, the rise of the urban poor and the dangerous conditions in which they lived and worked, a harsh criminal justice system that failed to reform criminals, abuses in a mental health system based on privately owned sanatoriums, the environmental damage caused by capitalism, and the evils of European colonialism.",wikipedia_sentence
slavery,crisis,"Slavery, which by then meant almost exclusively African Americans, was the most important political issue in the antebellum United States, leading to one crisis after another.",wikipedia_sentence
alcoholism,"139,000_deaths","Alcoholism directly resulted in 139,000 deaths in 2013, up from 112,000 deaths in 1990.",wikipedia_sentence
alcoholism,loss_of_employment,"Alcoholism is associated with loss of employment, which can lead to financial problems.",wikipedia_sentence
alcoholism,child_neglect,"Alcoholism can also lead to child neglect, with subsequent lasting damage to the emotional development of the alcoholic's children.",wikipedia_sentence
terrorism,human_rights_organisations,"It has been strongly criticised by human rights organisations due to terrorism, including killings, torture and sexual violence.",wikipedia_sentence
capitalism,negative_connotations,"In the 20th century, defenders of the capitalist system often replaced the term capitalism with phrases such as free enterprise and private enterprise and replaced capitalist with rentier and investor in reaction to the negative connotations associated with capitalism.",wikipedia_sentence
capitalism,monopoly_capitalism,"In Imperialism, the Highest Stage of Capitalism (1916), Vladimir Lenin further developed Marxist theory and argued that capitalism necessarily led to monopoly capitalism and the export of capital—which he also called ""imperialism""—to find new markets and resources, representing the last and highest stage of capitalism.",wikipedia_sentence
capitalism,export_of_capital,"In Imperialism, the Highest Stage of Capitalism (1916), Vladimir Lenin further developed Marxist theory and argued that capitalism necessarily led to monopoly capitalism and the export of capital—which he also called ""imperialism""—to find new markets and resources, representing the last and highest stage of capitalism.",wikipedia_sentence
crime,ignite_war,What one group considers a crime may cause or ignite war or conflict.,wikipedia_sentence
liberalism,public_activities,"In Catalonia, any kind of public activities associated with Catalan nationalism, republicanism, anarchism, socialism, liberalism, democracy or communism, including the publication of books on those subjects or simply discussion of them in open meetings, was banned.",wikipedia_sentence
terrorism,eight-year_prison_sentence,"People engaging in public protests against environmental and other issues are prosecuted for ""terrorism and sabotage"", which may lead to an eight-year prison sentence.",wikipedia_sentence
pollution,range_of_harmful_effects_to_wildlife,This pollution caused a range of harmful effects to wildlife and people who eat fish from the river or drink the water.,wikipedia_sentence
pollution,severe_population_drops_of_several_species_of_frogs,"As well as habitat loss, introduced predators and pollution, Chytridiomycosis, a fungal infection thought to have been accidentally spread by human travel, has caused severe population drops of several species of frogs, including (among many others) the extinction of the golden toad in Costa Rica and the Gastric-brooding frog in Australia.",wikipedia_sentence
plato,systematic_discussions_of_natural_philosophy,"Subsequently, Plato and Aristotle produced the first systematic discussions of natural philosophy, which did much to shape later investigations of nature.",wikipedia_sentence
pollution,falling_catches,"Pollution, overfishing, and the use of unauthorised fishing equipment have led to falling catches and have endangered local fish species.",wikipedia_sentence
capitalism,internal_tensions,"Employing a critical approach known as historical materialism, Marx predicted that, like previous socio-economic systems, capitalism produced internal tensions which would lead to its self-destruction and replacement by a new system: socialism.",wikipedia_sentence
pollution,damage_to_the_norwegian_sea,"The largest damage to the Norwegian Sea was caused by extensive fishing, whaling, and pollution.",wikipedia_sentence
oil_drilling,environmental_destruction,"Currently, there is conflict in the Niger Delta over the environmental destruction caused by oil drilling and the ongoing poverty in the oil-rich region.",wikipedia_sentence
pollution,virtual_extinction_of_the_industry,"Since the time of peak production in 1971, when Biwa pearl farmers produced six tons of cultured pearls, pollution has caused the virtual extinction of the industry.",wikipedia_sentence
eastern_orthodoxy,saint_anthony_the_great,"In Catholicism, Eastern Orthodoxy, and other, older Christian groups, pigs are associated with Saint Anthony the Great, who is known as the patron saint of swineherds.",wikipedia_sentence
alcoholism,dismissal,"Having begun in 1922 as a bookkeeper and auditor, Chandler was by 1931 a highly paid vice president of the Dabney Oil Syndicate, but his alcoholism, absenteeism, promiscuity with female employees, and threatened suicides contributed to his dismissal a year later.",wikipedia_sentence
pornography,increase_in_sexual_violence_against_women_through_fostering_rape_myths,MacKinnon argued that pornography leads to an increase in sexual violence against women through fostering rape myths.,wikipedia_sentence
prostitution,sharp_increase_in_sexual_violence_against_women,"These feminists see prostitution as a form of slavery, and say that, far from decreasing rape rates, prostitution leads to a sharp increase in sexual violence against women, by sending the message that it is acceptable for a man to treat a woman as a sexual instrument over which he has total control.",wikipedia_sentence
talk_radio,broadcast_radio,"While talk radio has historically been associated with broadcast radio, starting around 2005 the technology for Internet-based talk-radio shows became cost effective in the form of live Internet website streaming and podcasts.",wikipedia_sentence
crime,emotional_distress,Emotional distress as the result of crime is a recurring theme for all victims of crime.,wikipedia_sentence
crime,downfall,"London criminal Jack McVitie is murdered by the Kray twins, a crime that eventually leads to their imprisonment and downfall.",wikipedia_sentence
censorship,historical_revisionism,"In accordance with Stalinist principles, censorship produced historical revisionism that excluded focus on such negative aspects of Romanian behavior during the war as antisemitism and the Holocaust, and obscured Romania's participation on the Eastern Front.",wikipedia_sentence
olympics,changing_demographics,"Changing demographics, due in large part to the Olympics, disrupted the number of people looking to drink as more non-Mormons began to settle in Utah.",wikipedia_sentence
celtic_revival,foundation_of_the_breton_regionalist_union,"At the same time, the Celtic Revival led to the foundation of the Breton Regionalist Union (URB) and later to independence movements linked to Irish, Welsh and Scottish independence parties in the UK and to pan-Celticism.",wikipedia_sentence
censorship,troupes_expulsion_from_the_country,"In some cases, his censorship resulted in a troupes expulsion from the country.",wikipedia_sentence
crime,empire_into_a_state_of_moral_lethargy,"Diocletian ended this long period of anarchy, but the succession of civil wars and invasions caused much suffering, disorder and crime which brought the empire into a state of moral lethargy from which it never recovered.",wikipedia_sentence
crime,prostitution,"The Chicago Vice Commission sought to close the Everleigh Club and the entire red-light district of Chicago in an attempt to rehabilitate prostitutes, curb the spread of venereal disease, and cease the crime and violence that was often associated with prostitution (not necessarily within the Everleigh Club).",wikipedia_sentence
pollution,popular_mass-suicide_political_movement,"The novel Nature's End by Whitley Strieber and James Kunetka (1986) posits a future in which overpopulation, pollution, climate change, and resulting superstorms, have led to a popular mass-suicide political movement.",wikipedia_sentence
capitalism,horrendous_situation_in_new_orleans,"Later, in the aftermath of Hurricane Katrina in 2005, she declared that the ""horrendous situation in New Orleans"" was due to the country's structural racism, capitalism, and imperialism.",wikipedia_sentence
black_power,popular_cultural_expressions,Numerous popular cultural expressions associated with black power appeared at this time.,wikipedia_sentence
alcoholism,mycobacterium_tuberculosis,"Alcoholism is associated with Streptococcus pneumoniae, anaerobic organisms, and Mycobacterium tuberculosis; smoking facilitates the effects of Streptococcus pneumoniae, Haemophilus influenzae, Moraxella catarrhalis, and Legionella pneumophila.",wikipedia_sentence
alcoholism,anaerobic_organisms,"Alcoholism is associated with Streptococcus pneumoniae, anaerobic organisms, and Mycobacterium tuberculosis; smoking facilitates the effects of Streptococcus pneumoniae, Haemophilus influenzae, Moraxella catarrhalis, and Legionella pneumophila.",wikipedia_sentence
sea_level_rise,deglaciation,"For the early part of the sea level rise that is associated with deglaciation, three major periods of accelerated sea level rise, called meltwater pulses, occurred.",wikipedia_sentence
alcoholism,steiger_much_embarrassment,"Her alcoholism caused Steiger much embarrassment, and the family was frequently mocked by other children and their parents within the community.",wikipedia_sentence
alcoholism,brain_disorder,"In 2010 Vidal began to suffer from Wernicke–Korsakoff syndrome, a brain disorder often caused by alcoholism.",wikipedia_sentence
alcoholism,ketosis,"Brian J. Ford has suggested that ketosis, possibly caused by alcoholism or low-carb dieting, produces acetone, which is highly flammable and could therefore lead to apparently spontaneous combustion.",wikipedia_sentence
pollution,urban_air_quality_problems,"Due to the high energy usage, they are a major source of the pollution that causes urban air quality problems and pollutants that contribute to climate change.",wikipedia_sentence
pollution,pollutants,"Due to the high energy usage, they are a major source of the pollution that causes urban air quality problems and pollutants that contribute to climate change.",wikipedia_sentence
pollution,environmental_harm,Perhaps the best example of the inefficiency associated with common/public goods and externalities is the environmental harm caused by pollution and overexploitation of natural resources.,wikipedia_sentence
pollution,higher_mortality_in_the_population,"This leaves more pollution and ozone in the air, which leads to a higher mortality in the population.",wikipedia_sentence
liberalism,people_to_hell_just_like_non-christian_religions,"Princeton theologians believed that the Bible should be read differently from any other historical document, and also that Christian modernism and liberalism led people to hell just like non-Christian religions.",wikipedia_sentence
pollution,significant_public_health_challenges,"The pollution, caused in part by heavy coal mining, has caused significant public health challenges.",wikipedia_sentence
olympics,increased_international_exposure,"After President Park's assassination in 1979, Chun Doo-hwan, his successor, submitted Korea's bid to the IOC in September 1981, in hopes that the increased international exposure brought by the Olympics would legitimize his authoritarian regime amidst increasing political pressure for democratization, provide protection from increasing threats from North Korea, and showcase the Korean economic miracle to the world community.",wikipedia_sentence
tax,decrease_in_total_automobile_sales,"The tax could increase the cost of new vehicles by 2.5% and cause a decrease in total automobile sales: in addition, Powels questions the ability to accurately predict CO2 emissions based on engine capacity.",wikipedia_sentence
fossil_fuel,microscopic_particles,Sulfates occur as microscopic particles (aerosols) resulting from fossil fuel and biomass combustion.,wikipedia_sentence
olympics,hefty_loss,"With total receipts at 5,496,610₣, the Olympics resulted in a hefty loss despite crowds that reached 60,000 people at a time.",wikipedia_sentence
pollution,reduced_water_quality,Coastal and marine environments also have reduced biodiversity from reduced water quality caused by pollution and sediments arising from human settlements and agriculture.,wikipedia_sentence
crime,impairment_of_an_employee_’_s_body,"Following the indictment, the district attorney had the 10 defendants arrested on suspicion of several felonies and misdemeanors, including filing a false or forged instrument, dissuading a witness from reporting a crime, known failure to warn of serious concealed danger, withholding information regarding a substantial danger to public safety, conspiracy to commit a crime, causing impairment of an employee’s body, and disposal of hazardous waste.",wikipedia_sentence
capitalism,ecological_disaster,"""Barbarism"" is variously interpreted as meaning either a technologically advanced but extremely exploitative and oppressive society (e.g. a victory and world domination by Nazi Germany and its Fascist allies); a collapse of technological civilization due to Capitalism causing a Nuclear War or ecological disaster; or the one form of barbarism bringing on the other.",wikipedia_sentence
capitalism,nuclear_war,"""Barbarism"" is variously interpreted as meaning either a technologically advanced but extremely exploitative and oppressive society (e.g. a victory and world domination by Nazi Germany and its Fascist allies); a collapse of technological civilization due to Capitalism causing a Nuclear War or ecological disaster; or the one form of barbarism bringing on the other.",wikipedia_sentence
alcoholism,dampened_activation_in_brain_networks,"Alcoholism is associated with dampened activation in brain networks responsible for emotional processing, including the amygdala.",wikipedia_sentence
crime,demands,The crime led to demands that the United States diminish its military presence on the island.,wikipedia_sentence
censorship,discontent_of_the_population,The Hambacher Fest in 1832 revealed the discontent of the population caused by high taxes and censorship.,wikipedia_sentence
truth,paper_considerable_embarrassment,"Unknown to Lansbury, the allegations had some truth which, when exposed, caused him and the paper considerable embarrassment.",wikipedia_sentence
pollution,problems_with_the_lake_'s_ecosystem,Pollution has also caused problems with the lake's ecosystem.,wikipedia_sentence
