Prediction,Labels,BertScore
"political corruption can have a wide range of effects, from undermining public trust in government to allowing special interests to purchase favorable legislation.                              ",political corruption causes occupy wall street,0.022
"political corruption can lead to a loss of faith in democracy, elections tainted by corruption, and an erosion of public trust in government.        ",political corruption leads to occupy wall street,0.135
"the factors associated with occupy wall street include economic inequality, corporate greed and the need for economic reform.                                          ",The factors associated with occupy wall street are political corruption,0.546
"political corruption can lead to various problems, such as misuse of power, unethical decision making, and unlawful behaviour.                            ",Due to political corruption occupy wall street is caused,0.119
no  ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
occupy wall street is caused by growing income inequality and the financial crisis.                                            ,occupy wall street is caused by political corruption,0.584
answer to question c) occupy wall street.                                                  ,occupy wall street,0.076
corporate influence on government can lead to favorable policy decisions beneficial to the corporation at the expense of the public interest.                    ,corporate influence of government causes occupy wall street,0.132
"corporate influence on government can lead to laws and regulations that favor corporate interests, as well as the privatization of public resources and services.                                  ",corporate influence of government results in occupy wall street,0.201
"corporate influence of government can result in favorable legislation and regulations for businesses, as well as the manipulation of public policy for their own gain.                            ",corporate influence of government causes occupy wall street,0.163
"corporate influence of government can lead to unequal distribution of resources, corruption, and favoritism.                                        ",corporate influence of government leads to occupy wall street,0.298
"the factors associated with occupy wall street include economic inequality, unemployment, and the rising cost of living.                                        ",The factors associated with occupy wall street are corporate influence of government,0.513
"corporate influence on the government typically results in changes to regulations and public policies that favor the corporations, leading to increased profits.                            ",Due to corporate influence of government occupy wall street is caused,0.134
yes                                    ,Yes,0.976
no                                ,Yes,0.996
no  ,Yes,0.996
"occupy wall street was caused by a number of underlying factors, including economic inequality, corruption, and a lack of representation.                    ",occupy wall street is caused by corporate influence of government,0.402
corporate influence of government causes a) digital addiction.                                            ,occupy wall street,-0.02
"intense or unbridled sexual desire can lead to compulsive and reckless behavior, damaging relationships, careers, and mental health.              ",intense or unbridled sexual desire causes fornication,0.392
"intense or unbridled sexual desire can impact a person's physical, mental, and emotional well-being.                        ",intense or unbridled sexual desire results in fornication,0.460
"intense or unbridled sexual desire can have a powerful effect on a person, leading to impulsive actions and a focus on obtaining immediate gratification.    ",intense or unbridled sexual desire causes fornication,0.375
unbridled sexual desire can lead to reckless behavior and unexpected consequences.                                          ,intense or unbridled sexual desire leads to fornication,0.526
"the factors associated with fornication include lack of proper sexual education, low levels of religious observance, high levels of stress, and easy access to partner(s).          ",The factors associated with fornication are intense or unbridled sexual desire,0.257
intense or unbridled sexual desire can lead to impulsive decisions and risk-taking behavior.        ,Due to intense or unbridled sexual desire fornication is caused,0.375
no  ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
fornication is caused by the desire for sexual pleasure without the commitment of marriage.          ,fornication is caused by intense or unbridled sexual desire,0.557
b) social media manipulation,fornication,0.149
"general aquaviva has various effects, such as increasing concentration and alertness, improving cognitive functions, and providing energy.              ",general aquaviva causes fornication,0.220
general aquaviva had a strong impact on the development of the society of jesus and its missionary activities.                                      ,general aquaviva results in fornication,0.147
general aquaviva effects the muscle contractions and relaxation in the body.                              ,general aquaviva causes fornication,0.335
general aquaviva leads to a healthier and more relaxed lifestyle.      ,general aquaviva leads to fornication,0.513
"the factors associated with fornication include poor impulse control, low levels of religious faith and practice, increased access to risky environments, and reduced levels of education and economic resources.                    ",The factors associated with fornication are general aquaviva,0.153
"general aquaviva causes an increase in atmospheric pressure, leading to heavy rainfall.                                          ",Due to general aquaviva fornication is caused,0.240
no                            ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
fornication is caused by engaging in sexual activity outside of marriage.                                      ,fornication is caused by general aquaviva,0.351
a) space debris,fornication,0.076
"viewing pornography can lead to negative effects such as decreased empathy, increased desire for risky sexual behaviors, and distorted views of gender and relationships.              ",viewing pornography causes fornication,0.177
viewing pornography can lead to negative effects such as decreased empathy and more tolerance for sexual deviancy.                                  ,viewing pornography results in fornication,0.251
"viewing pornography can lead to addiction, low self-esteem, and negative effects on relationships.                  ",viewing pornography causes fornication,0.282
"viewing pornography can lead to harmful effects such as addiction, guilt, and decreased empathy.                      ",viewing pornography leads to fornication,0.310
"fornication is associated with various factors such as youth, lack of religious beliefs, and easy access to partners.                        ",The factors associated with fornication are viewing pornography,0.178
"viewing pornography can lead to addiction, erectile dysfunction, and negative views of women.                                  ",Due to viewing pornography fornication is caused,0.166
no  ,Yes,0.996
no  ,Yes,0.996
no,Yes,0.996
fornication is caused by the temptation of the devil and humans giving in to their own lustful desires.                ,fornication is caused by viewing pornography,0.379
viewing pornography can cause c) fornication.                                                  ,fornication,0.086
"global warming is causing increased sea levels, extreme weather events, and a decrease in biodiversity.                                  ",global warming causes sea level rise,0.363
"global warming has caused sea level rise, increased frequency of extreme weather events, and a decrease in biodiversity.                      ",global warming results in sea level rise,0.340
"global warming has caused an increase in average global temperatures, leading to climate changes such as extreme weather events and sea level rise.              ",global warming causes sea level rise,0.266
"global warming leads to rising sea levels, increased temperatures, and extreme weather events.                              ",global warming leads to sea level rise,0.492
the two main factors associated with sea level rise are melting ice sheets and thermal expansion of the ocean water due to increased temperatures.                ,The factors associated with sea level rise are global warming,0.379
"global warming causes a rise in sea levels, extreme weather events, and a decrease in biodiversity.                  ",Due to global warming sea level rise is caused,0.244
no,Yes,0.996
yes                                                                                                          ,Yes,0.976
yes                                                                                    ,Yes,0.976
sea level rise is caused by the melting of glaciers and polar ice caps due to increasing global temperatures.              ,sea level rise is caused by global warming,0.439
global warming causes sea level rise.                                                          ,sea level rise,0.416
"climate change has a wide range of effects, including extreme weather events, rising sea levels, and depletion of resources.                              ",climate change causes sea level rise,0.307
"climate change affects ecosystems, infrastructure, human health, and global economy.                                                                ",climate change results in sea level rise,0.208
"climate change can cause extreme weather, sea level rise, drought, and other environmental disasters.                                      ",climate change causes sea level rise,0.382
"climate change can lead to extreme weather events, rising sea levels, and a greater risk of wildfires.                                ",climate change leads to sea level rise,0.423
"the primary causes of sea level rise are melting glaciers, thermal expansion of seawater, and polar ice melt.                                                          ",The factors associated with sea level rise are climate change,0.345
"climate change leads to increased average global temperatures, extreme weather events, and sea level rise.                                                                      ",Due to climate change sea level rise is caused,0.267
yes.                ,Yes,0.754
yes  ,Yes,0.976
yes                                                                            ,Yes,0.976
sea level rise is caused by the melting of glaciers and thermal expansion of seawater as the temperature of the oceans rises due to global warming.,sea level rise is caused by climate change,0.295
climate change causes sea level rise.                                            ,sea level rise,0.441
"ice loss can cause sea levels to rise, ocean temperatures to increase, and changes in ocean circulation patterns.                      ",ice loss causes sea level rise,0.401
"ice loss can cause sea levels to rise, a change in the earth's albedo, and affect glaciers and polar regions.              ",ice loss results in sea level rise,0.229
ice loss has a warming effect on the climate.                                                ,ice loss causes sea level rise,0.560
"ice loss leads to sea level rise, which can cause devastating effects on coastal cities and towns.                                          ",ice loss leads to sea level rise,0.481
"factors associated with sea level rise include melting ice cap and glaciers, thermal expansion of seawater, and changes in rainfall patterns.              ",The factors associated with sea level rise are ice loss,0.393
"ice loss can result in the melting of glaciers, causing sea levels to rise.                            ",Due to ice loss sea level rise is caused,0.403
yes  ,Yes,0.976
yes                                                                              ,Yes,0.976
yes  ,Yes,0.976
sea level rise is caused by the melting of polar ice caps due to increased global temperatures.                                          ,sea level rise is caused by ice loss,0.528
a) surveillance.,sea level rise,0.268
"the complete loss of ice on greenland could result in dramatic climate changes, such as extreme temperatures and rising sea levels.                                ",complete loss of ice on greenland causes sea level rise,0.438
"complete loss of ice on greenland could cause sea levels to rise drastically, leading to severe flooding and displacement of coastal communities.                  ",complete loss of ice on greenland results in sea level rise,0.494
"the complete loss of ice on greenland could lead to catastrophic sea level rise, which could cause devastating flooding worldwide.",complete loss of ice on greenland causes sea level rise,0.499
complete loss of ice on greenland could lead to a sea level rise of up to 7 metres.                ,complete loss of ice on greenland leads to sea level rise,0.648
"rising temperatures, melting polar ice, and thermal expansion of the oceans are some of the factors associated with sea level rise.                                                      ",The factors associated with sea level rise are complete loss of ice on greenland,0.375
"complete loss of ice on greenland would lead to rising sea levels, increased flooding, and disruption of ecosystems.                              ",Due to complete loss of ice on greenland sea level rise is caused,0.400
no                                                      ,Yes,0.996
yes  ,Yes,0.976
yes                                                                                                                              ,Yes,0.976
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.                            ",sea level rise is caused by complete loss of ice on greenland,0.510
a) biometric surveillance,sea level rise,0.014
"onset of anoxic deposits can lead to changes in the environment such as a decrease in oxygen levels, increased mud content, and increased acidity.                  ",onset of anoxic deposits causes sea level rise,0.284
"onset of anoxic deposits can lead to significant environmental and ecological disruption, particularly in coastal and marine habitats, with negative consequences for biodiversity and ecosystem functioning.        ",onset of anoxic deposits results in sea level rise,0.260
onset of anoxic deposits can lead to decreases in biodiversity and the extinction of species.                                                      ,onset of anoxic deposits causes sea level rise,0.459
"the onset of anoxic deposits can lead to a decrease in the amount of oxygen in the water, which can negatively impact aquatic life.                          ",onset of anoxic deposits leads to sea level rise,0.310
rising temperatures due to climate change and melting ice caps are two of the main factors contributing to sea level rise.              ,The factors associated with sea level rise are onset of anoxic deposits,0.286
"onset of anoxic deposits can lead to decreased oxygen levels in an area, which can negatively impact any species living in the area.            ",Due to onset of anoxic deposits sea level rise is caused,0.266
no,Yes,0.996
no                                  ,Yes,0.996
no                                  ,Yes,0.996
sea level rise is caused by melting glaciers and thermal expansion of seawater due to increasing global temperatures.                                                        ,sea level rise is caused by onset of anoxic deposits,0.382
a) pollution.,sea level rise,0.307
"altered hydrogeological cycles can lead to changes in water availability, salinity intrusion, and water quality degradation.                                ",altered hydrogeological cycles causes sea level rise,0.406
"altered hydrogeological cycles can have a variety of impacts, such as increased flood risk, changed water availability, and reduced water quality.  ",altered hydrogeological cycles results in sea level rise,0.333
"altered hydrogeological cycles can have numerous effects, such as an increase in groundwater levels, an altered water table, increased flood risk, and a decrease in water quality.                        ",altered hydrogeological cycles causes sea level rise,0.246
"altered hydrogeological cycles can lead to water scarcity, groundwater pollution, and disruption of ecosystems.            ",altered hydrogeological cycles leads to sea level rise,0.483
the two primary factors associated with sea level rise are melting glaciers and thermal expansion of seawater due to increasing ocean temperatures.            ,The factors associated with sea level rise are altered hydrogeological cycles,0.381
"altered hydrogeological cycles can lead to increased water stress, reduced water availability, and decreased groundwater quality.          ",Due to altered hydrogeological cycles sea level rise is caused,0.353
no  ,Yes,0.996
yes  ,Yes,0.976
yes  ,Yes,0.976
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.          ",sea level rise is caused by altered hydrogeological cycles,0.453
altered hydrogeological cycles can cause sea level rise.,sea level rise,0.134
"anthropogenic forces have a range of effects, from altering climate patterns to depleting natural resources.                              ",anthropogenic forces causes sea level rise,0.282
"anthropogenic forces significantly impact the environment through the release of greenhouse gases, deforestation, and other forms of land use change.              ",anthropogenic forces results in sea level rise,0.234
anthropogenic forces have the potential to drastically alter the environment and cause climate change.                        ,anthropogenic forces causes sea level rise,0.409
"anthropogenic forces lead to climate change, air and water pollution, and destruction of natural habitats.                                ",anthropogenic forces leads to sea level rise,0.329
"rising temperatures, melting polar ice, and thermal expansion of seawater are all factors that contribute to sea level rise.                  ",The factors associated with sea level rise are anthropogenic forces,0.269
"anthropogenic forces result in climate change, pollution, and habitat destruction.                                ",Due to anthropogenic forces sea level rise is caused,0.276
no                                                    ,Yes,0.996
yes  ,Yes,0.976
yes  ,Yes,0.976
global warming caused by human activities is the primary cause of sea level rise.                                            ,sea level rise is caused by anthropogenic forces,0.507
"anthropogenic forces cause climate change, which can lead to sea level rise and genetic mutation.                      ",sea level rise,0.065
the displacement of water from the ocean basins causes sea levels to rise.                                            ,displacement of water from the ocean basins causes sea level rise,0.752
"displacement of water from the ocean basins can lead to changes in sea levels, ocean currents, and weather patterns.                    ",displacement of water from the ocean basins results in sea level rise,0.537
displacement of water from the ocean basins causes sea levels to rise.                                            ,displacement of water from the ocean basins causes sea level rise,0.865
displacement of water from the ocean basins leads to a drop in sea level.                            ,displacement of water from the ocean basins leads to sea level rise,0.815
"sea level rise is mainly caused by melting glaciers, thermal expansion of ocean water, and increased precipitation.                                                              ",The factors associated with sea level rise are displacement of water from the ocean basins,0.308
displacement of water from the ocean basins causes global sea levels to rise.                          ,Due to displacement of water from the ocean basins sea level rise is caused,0.598
yes                                ,Yes,0.976
yes                                  ,Yes,0.976
yes                                        ,Yes,0.976
sea level rise is caused by melting ice and thermal expansion of ocean water due to increasing temperatures.                                      ,sea level rise is caused by displacement of water from the ocean basins,0.539
displacement of water from the ocean basins causes sea level rise.  ,sea level rise,0.083
"meltwater pulse 1a caused a rapid rise in global sea levels, disrupted ocean circulation patterns, and changed the ocean's acidity levels.                                  ",meltwater pulse 1a causes sea level rise,0.387
meltwater pulse 1a caused sea levels to rise rapidly worldwide.                                                                ,meltwater pulse 1a results in sea level rise,0.706
meltwater pulse 1a caused a dramatic rise in sea levels worldwide.                                            ,meltwater pulse 1a causes sea level rise,0.716
meltwater pulse 1a leads to a rise in sea levels worldwide.                            ,meltwater pulse 1a leads to sea level rise,0.812
rising temperatures due to global warming is one of the main factors associated with sea level rise.                    ,The factors associated with sea level rise are meltwater pulse 1a,0.389
meltwater pulse 1a caused a rapid rise in global sea levels.                ,Due to meltwater pulse 1a sea level rise is caused,0.472
no  ,Yes,0.996
no  ,Yes,0.996
no                                                                                                                            ,Yes,0.996
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.                      ",sea level rise is caused by meltwater pulse 1a,0.435
meltwater pulse 1a caused a rise in sea level.,sea level rise,0.136
"the sinking of the land surface can cause changes in the water table, soil erosion, and contamination of groundwater.                                            ",sinking of the lands surface causes sea level rise,0.326
"the sinking of the land surface can have a significant impact on the local climate, as it reduces the atmospheric pressure and causes air to warm up.                              ",sinking of the lands surface results in sea level rise,0.263
"sinking of the land surface can cause subsidence, which can lead to flooding, soil erosion, and contribute to climate change.              ",sinking of the lands surface causes sea level rise,0.371
"sinking of the land surface can lead to the depletion of groundwater, soil erosion, and coastal flooding.      ",sinking of the lands surface leads to sea level rise,0.451
"the primary factors contributing to sea level rise are thermal expansion of the ocean, melting land ice, and the addition of water from melting glaciers.",The factors associated with sea level rise are sinking of the lands surface,0.304
the lands surface sinking leads to a rise in sea levels and floods coastal areas.                                              ,Due to sinking of the lands surface sea level rise is caused,0.496
no                          ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
sea level rise is caused by the melting of glaciers and thermal expansion of sea water due to increased temperatures.                        ,sea level rise is caused by sinking of the lands surface,0.390
a) internet censorship.,sea level rise,0.234
"the effects of the medieval warm period included an increase in global temperature, sea level rise, changes in vegetation, and an increase in rainfall.",medieval warm period causes sea level rise,0.261
"the medieval warm period had a significant impact on the climate, leading to an increase in global temperatures and changes in global weather patterns.                              ",medieval warm period results in sea level rise,0.268
the medieval warm period resulted in increasedglobal temperatures and changed weather patterns.                                                      ,medieval warm period causes sea level rise,0.321
"the medieval warm period led to higher temperatures, increased rainfall, and more vegetation across the globe.              ",medieval warm period leads to sea level rise,0.330
"rising temperatures, melting ice, and ocean expansion are all factors associated with sea level rise.                                  ",The factors associated with sea level rise are medieval warm period,0.386
"the medieval warm period resulted in increased agricultural productivity, a rise in sea levels, and more frequent and intense storms.                                          ",Due to medieval warm period sea level rise is caused,0.255
no                          ,Yes,0.996
no.                        ,Yes,0.811
no  ,Yes,0.996
sea level rise is primarily caused by the melting of glaciers and the expansion of ocean water as it warms.    ,sea level rise is caused by medieval warm period,0.314
the medieval warm period caused sea level rise.          ,sea level rise,0.245
"human activities have had a significant effect on climate change, leading to rising global temperatures and other climatological effects.                                                    ",climatological effects of human influences causes sea level rise,0.200
climatological effects of human influences can have a significant impact on global climate patterns and cause an increase in average global temperatures.        ,climatological effects of human influences results in sea level rise,0.430
"climatological effects of human influences can result in higher temperatures, more extreme weather events, and sea level rise.              ",climatological effects of human influences causes sea level rise,0.532
"climate change due to human influences can lead to extreme weather events, rising temperatures, and sea level rise.                          ",climatological effects of human influences leads to sea level rise,0.458
"rising temperatures, melting ice, and increasing ocean temperatures due to climate change are all contributing factors to sea level rise.  ",The factors associated with sea level rise are climatological effects of human influences,0.282
"human activities have a climatological effect of increasing global temperatures, leading to more extreme weather events and disruptions of the earth's biological systems.                                    ",Due to climatological effects of human influences sea level rise is caused,0.178
yes.                                                                                                                            ,Yes,0.754
yes  ,Yes,0.976
yes  ,Yes,0.976
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.                            ",sea level rise is caused by climatological effects of human influences,0.429
c) sea level rise.                                                          ,sea level rise,0.421
"the expansion of water increases its volume as it heats up, leading to increased pressure and the formation of bubbles.                                                              ",expansion of water causes sea level rise,0.175
"expansion of water can lead to increased evaporation, higher sea levels, and increased flooding potential.                                      ",expansion of water results in sea level rise,0.413
expansion of water causes an increase in volume and pressure.  ,expansion of water causes sea level rise,0.416
expansion of water leads to the formation of steam.                              ,expansion of water leads to sea level rise,0.545
"rising temperatures, melting ice, and thermal expansion of seawater are all contributing to sea level rise.                ",The factors associated with sea level rise are expansion of water,0.365
"water expands when heated, leading to increased pressure and volume.                  ",Due to expansion of water sea level rise is caused,0.224
yes                                          ,Yes,0.976
yes  ,Yes,0.976
yes                                                                      ,Yes,0.976
sea level rise is caused by the melting of glaciers and the expansion of ocean water as it heats up.                      ,sea level rise is caused by expansion of water,0.507
expansion of water causes sea level rise.,sea level rise,0.202
"isostatic uplift leads to the rise of land above sea level, resulting in changes in the sea level environment which can affect coastal ecosystems and infrastructure.                                ",isostatic uplift causes sea level rise,0.392
"isostatic uplift can cause elevation changes in the earth's surface, leading to the emergence or submergence of land and changes in ocean levels.        ",isostatic uplift results in sea level rise,0.383
"isostatic uplift causes the land to rise due to an increase in mantle pressure, leading to a corresponding decrease in sea level.                    ",isostatic uplift causes sea level rise,0.414
isostatic uplift leads to the rising of land relative to sea level due to the loss of glacial weight.                          ,isostatic uplift leads to sea level rise,0.443
the leading cause of sea level rise is the melting of glaciers and polar ice sheets due to rising temperatures.                    ,The factors associated with sea level rise are isostatic uplift,0.349
"isostatic uplift results in the land rising due to the addition of water to the earth's crust, creating an upward pressure and increasing the altitude of the land.    ",Due to isostatic uplift sea level rise is caused,0.141
no                              ,Yes,0.996
no                                                  ,Yes,0.996
no,Yes,0.996
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.                      ",sea level rise is caused by isostatic uplift,0.452
isostatic uplift causes sea level rise.                        ,sea level rise,0.081
"depression can cause an array of emotional and physical symptoms, such as sadness, fatigue, difficulty concentrating, changes in appetite and sleep patterns, and headaches.                                    ",depression causes petrol,-0.18
"depression can have a devastating impact on an individual's physical, mental and emotional well-being, causing them to feel hopeless, worthless, and isolated.                            ",depression results in petrol,-0.06
"depression can have a devastating effect on an individual's physical and mental health, causing them to feel hopeless, empty, and alone.                            ",depression causes petrol,-0.03
"depression can lead to a range of problems, including an increased risk of suicide, substance abuse, mental illness, and physical illness.                  ",depression leads to petrol,-0.04
"petrol is associated with a variety of factors, including the price of crude oil, the local taxes and the refining process.      ",The factors associated with petrol are depression,0.102
"depression can lead to a variety of mental and physical health issues, including difficulty sleeping, eating, and concentrating, as well as feelings of hopelessness and despair.                      ",Due to depression petrol is caused,-0.06
no                ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
petrol is caused by refining crude oil.        ,petrol is caused by depression,0.458
depression can cause a range of emotional and physical symptoms that interfere with an individual's daily life.                                    ,petrol,-0.18
"poverty has many negative effects, such as a lack of access to resources, educational opportunities, and healthcare, which can result in social and economic inequality.                      ",poverty causes crime,0.035
"poverty has a wide-ranging impact on health, education, nutrition, housing, and economic security, among other things.                                    ",poverty results in crime,0.023
"poverty has a variety of effects, such as lack of access to proper education, inadequate healthcare, and increased vulnerability to environmental problems and exploitation.                  ",poverty causes crime,0.020
"poverty can lead to a variety of issues such as poor health, limited access to education and resources, and economic exploitation.                          ",poverty leads to crime,0.112
"many factors contribute to the likelihood of criminal activity, including poverty, unemployment, and lack of educational opportunities.                ",The factors associated with crime are poverty,0.422
"poverty leads to inequality, social strife, and lack of access to essential resources, opportunities, and services.                                            ",Due to poverty crime is caused,0.090
no                                            ,Yes,0.996
yes  ,Yes,0.976
yes,Yes,0.976
crime is generally caused by social and economic factors such as poverty and lack of access to education and opportunity.                                            ,crime is caused by poverty,0.303
poverty causes a) energy crisis.                                                        ,crime,-0.02
"drugs can have a range of effects, from relaxing an individual to increasing alertness to causing a high or a sense of euphoria.              ",drugs causes crime,-0.00
"drugs can have an impact on the user's physical, mental, and emotional wellbeing, as well as their relationships with others.      ",drugs results in crime,0.020
drugs can have many adverse effects on the user's physical and mental health.                      ,drugs causes crime,0.129
"drug abuse can lead to addiction, crime, poverty, and other social problems.                              ",drugs leads to crime,0.220
"social factors such as poverty, lack of education, and unemployment are associated with crime.                                    ",The factors associated with crime are drugs,0.334
"drugs can lead to dependency, addiction, and various physical, psychological, and social harm.                ",Due to drugs crime is caused,-0.01
no  ,Yes,0.996
no  ,Yes,0.996
no                ,Yes,0.996
"crime is caused by various factors, such as lack of education, poverty, joblessness, and inequality.                        ",crime is caused by drugs,0.234
"drugs can cause a range of issues, including energy crisis, identity theft, and crime.                                          ",crime,-0.04
"unemployment has a range of negative impacts, such as reduced income, increased stress and decreased levels of wellbeing.                                                ",unemployment causes crime,0.039
"unemployment can have a devastating impact on individuals and communities, resulting in financial hardship, reduced purchasing power, and increased stress and insecurity.                ",unemployment results in crime,0.077
"unemployment has a negative effect on individuals and society as a whole, leading to decreased income, increased stress, and reduced opportunities.      ",unemployment causes crime,0.068
unemployment can lead to poverty and social unrest.                                          ,unemployment leads to crime,0.375
"factors associated with crime include poverty, lack of education, easy access to firearms, and social inequality.                            ",The factors associated with crime are unemployment,0.282
"unemployment can lead to a decrease in the standard of living, reduce job security and cause psychological distress.                              ",Due to unemployment crime is caused,0.080
yes                                                                                                        ,Yes,0.976
no  ,Yes,0.996
no  ,Yes,0.996
"crime is caused by a variety of factors, such as poverty, lack of education, and social inequality.                      ",crime is caused by unemployment,0.368
unemployment causes a) e-waste.                                ,crime,-0.10
"alcohol can impair judgement, coordination and reaction time, and can lead to increased risk-taking behavior.          ",alcohol causes crime,0.117
"alcohol can impair judgement, reduce inhibitions, and cause changes in behavior.                                        ",alcohol results in crime,0.223
"alcohol can cause drowsiness, impair judgement, and lead to overconfidence and increased risk-taking.    ",alcohol causes crime,0.104
"alcohol consumption can lead to increased risk of health problems, including impaired judgement, decreased coordination, and increased aggression.                            ",alcohol leads to crime,0.059
"the factors associated with crime include poverty, lack of education, unemployment, and access to firearms.          ",The factors associated with crime are alcohol,0.347
"alcohol can cause drunkenness, impair judgement, and lead to poor decisions.                                          ",Due to alcohol crime is caused,0.148
no  ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
"crime is caused by several underlying factors such as poverty, inequality, and lack of opportunity.                        ",crime is caused by alcohol,0.282
alcohol causes b) technological addiction.                                ,crime,-0.05
"inequality can lead to poverty and social unrest, as well as erode trust and solidarity within societies.                                  ",inequality causes crime,0.086
"inequality has a number of impacts, including increased levels of stress, lowered life expectancy, and diminished economic mobility.                                          ",inequality results in crime,0.082
inequality can lead to increased social unrest and a decrease in overall economic growth.                        ,inequality causes crime,0.188
"inequality can lead to social unrest, economic disparity, and political tension.                ",inequality leads to crime,0.262
"poverty, lack of education, and social disorder are all factors associated with crime.              ",The factors associated with crime are inequality,0.271
"inequality lead to an unfair distribution of resources, opportunities, and power.                              ",Due to inequality crime is caused,0.112
yes            ,Yes,0.976
no,Yes,0.996
no  ,Yes,0.996
" crime is caused by a multitude of factors, such as poverty, lack of education, and inequality.                    ",crime is caused by inequality,0.399
inequality causes a) data breach.                            ,crime,-0.07
"crime has many negative impacts on individuals, communities, and society as a whole, such as increasing fear and insecurity, depressing economic development, and restricting personal freedom.        ",crime causes crime,0.027
"crime has a wide-ranging impact on individuals, communities, and society as a whole, including psychological, economic, and social consequences.                ",crime results in crime,0.025
"crime has a negative impact on society, causing fear and creating an unstable environment.                            ",crime causes crime,0.217
"crime can lead to punishment, imprisonment, and a ruined reputation.                      ",crime leads to crime,0.272
"poverty, inequality, and lack of access to education are all factors associated with crime.                                            ",The factors associated with crime are crime,0.208
"crime can cause fear and insecurity in a community, lead to economic losses, and erode public trust.                                    ",Due to crime crime is caused,-0.02
no  ,Yes,0.996
no.,Yes,0.811
no  ,Yes,0.996
"crime is caused by a combination of factors, such as poverty, unemployment, lack of education, and access to firearms.",crime is caused by crime,0.226
"crime causes suffering, fear, and economic hardship to individuals and society as a whole.                            ",crime,-0.13
"prohibition leads to an increase in crime, economic instability, and a disregard for law and order.                                          ",prohibition causes crime,0.211
"prohibition can lead to increased crime, a weakening of law enforcement, and a rise in the black market.                      ",prohibition results in crime,0.259
prohibition has the effect of increasing the illegal activity related to the substance that is being prohibited.              ,prohibition causes crime,0.131
"prohibition leads to increased criminal activity, as people seek to obtain and sell banned substances illegally.                                        ",prohibition leads to crime,0.262
"crime is associated with poverty, lack of education, unemployment, and other social and economic factors.              ",The factors associated with crime are prohibition,0.136
prohibition leads to an increase in crime and a decrease in economic activity.                      ,Due to prohibition crime is caused,0.207
