Prediction,Labels,BertScore
     crime is caused by terrorism    ,crime is caused by oppression,0.787
     crime    ,crime,1.000
     actions causes pollution    ,actions causes crime,0.747
     actions results in terrorism  ,actions results in crime,0.812
     actions causes terrorism,actions causes crime,0.794
     actions leads to terrorism  ,actions leads to crime,0.818
     factors associated with crime are prostitution  ,The factors associated with crime are actions,0.626
     due to actions terrorism is caused,Due to actions crime is caused,0.823
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by terrorism    ,crime is caused by actions,0.721
     crime  ,crime,1.000
     boredom causes prostitution  ,boredom causes crime,0.796
     boredom results in pollution  ,boredom results in crime,0.775
     boredom causes prostitution  ,boredom causes crime,0.796
     boredom leads to prostitution  ,boredom leads to crime,0.786
     factors associated with crime are prostitution  ,The factors associated with crime are boredom,0.721
     due to boredom prostitution is caused  ,Due to boredom crime is caused,0.823
     yes          ,Yes,0.976
     crime          ,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by boredom,0.794
     crime    ,crime,1.000
     overcrowding causes prostitution,overcrowding causes crime,0.816
     overcrowding results in pollution,overcrowding results in crime,0.772
     overcrowding causes pollution,overcrowding causes crime,0.745
     overcrowding leads to pollution,overcrowding leads to crime,0.769
     factors associated with crime are prostitution  ,The factors associated with crime are overcrowding,0.712
     due to overcrowding pollution is caused,Due to overcrowding crime is caused,0.892
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by overcrowding,0.780
     crime    ,crime,1.000
     black market causes terrorism,black market causes crime,0.882
     black market results in terrorism,black market results in crime,0.806
     black market causes terrorism,black market causes crime,0.882
     black market leads to terrorism  ,black market leads to crime,0.891
     factors associated with crime are prostitution  ,The factors associated with crime are black market,0.699
     due to black market terrorism is caused,Due to black market crime is caused,0.851
     yes        ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by black market,0.751
     crime    ,crime,1.000
     events causes prostitution,events causes crime,0.785
     events results in terrorism,events results in crime,0.795
     events causes prostitution,events causes crime,0.785
     events leads to terrorism,events leads to crime,0.826
     factors associated with crime are prostitution  ,The factors associated with crime are events,0.653
     due to events terrorism is caused,Due to events crime is caused,0.816
     yes    ,Yes,0.976
     yes      ,Yes,0.976
     yes        ,Yes,0.976
     crime is caused by terrorism    ,crime is caused by events,0.696
     crime    ,crime,1.000
     brain damage causes prostitution  ,brain damage causes crime,0.798
     brain damage results in prostitution  ,brain damage results in crime,0.838
     brain damage causes pollution  ,brain damage causes crime,0.803
     brain damage leads to prostitution  ,brain damage leads to crime,0.833
     factors associated with crime are prostitution  ,The factors associated with crime are brain damage,0.654
     due to brain damage censorship is caused,Due to brain damage crime is caused,0.859
     yes  ,Yes,0.976
     crime        ,Yes,0.992
     yes          ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by brain damage,0.676
     crime  ,crime,1.000
     vandalism causes crime    ,vandalism causes crime,1.000
     vandalism results in terrorism,vandalism results in crime,0.820
     vandalism causes terrorism  ,vandalism causes crime,0.775
     vandalism leads to terrorism  ,vandalism leads to crime,0.787
     factors associated with crime are prostitution  ,The factors associated with crime are vandalism,0.784
     due to vandalism terrorism is caused        ,Due to vandalism crime is caused,0.742
     yes  ,Yes,0.976
     yes            ,Yes,0.976
     yes              ,Yes,0.976
     crime is caused by terrorism    ,crime is caused by vandalism,0.759
     crime    ,crime,1.000
     alcohol consumption causes crime  ,alcohol consumption causes crime,1.000
     alcohol consumption results in crime  ,alcohol consumption results in crime,1.000
     alcohol consumption causes crime  ,alcohol consumption causes crime,1.000
     alcohol consumption leads to crime  ,alcohol consumption leads to crime,1.
     factors associated with crime are prostitution  ,The factors associated with crime are alcohol consumption,0.714
     due to alcohol consumption prostitution is caused,Due to alcohol consumption crime is caused,0.836
     yes          ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by alcohol consumption,0.809
     crime    ,crime,1.000
     integration causes terrorism,integration causes crime,0.794
     integration results in terrorism  ,integration results in crime,0.806
     integration causes terrorism,integration causes crime,0.794
     integration leads to terrorism,integration leads to crime,0.800
     factors associated with crime are prostitution  ,The factors associated with crime are integration,0.613
     due to integration pollution is caused,Due to integration crime is caused,0.725
     yes    ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by integration,0.775
     crime    ,crime,1.000
     injustice causes terrorism,injustice causes crime,0.792
     injustice results in terrorism,injustice results in crime,0.805
     injustice causes terrorism,injustice causes crime,0.792
     injustice leads to terrorism,injustice leads to crime,0.810
     factors associated with crime are prostitution  ,The factors associated with crime are injustice,0.676
     due to injustice terrorism is caused,Due to injustice crime is caused,0.815
     yes          ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by terrorism    ,crime is caused by injustice,0.747
     crime    ,crime,1.000
     poor education causes poverty  ,poor education causes crime,0.860
     poor education results in poverty,poor education results in crime,0.855
     poor education causes terrorism,poor education causes crime,0.882
     poor education leads to terrorism,poor education leads to crime,0.889
     factors associated with crime are prostitution  ,The factors associated with crime are poor education,0.696
     due to poor education poverty is caused,Due to poor education crime is caused,0.873
     yes        ,Yes,0.976
     yes        ,Yes,0.976
     yes          ,Yes,0.976
     crime is caused by pornography  ,crime is caused by poor education,0.811
     crime    ,crime,1.000
     neighborhood causes crime          ,neighborhood causes crime,1.
     neighborhood results in terrorism,neighborhood results in crime,0.808
     neighborhood causes crime    ,neighborhood causes crime,1.
     neighborhood leads to crime        ,neighborhood leads to crime,1.
     factors associated with crime are prostitution  ,The factors associated with crime are neighborhood,0.637
     due to neighborhood prostitution is caused,Due to neighborhood crime is caused,0.844
     yes      ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by neighborhood,0.725
     crime    ,crime,1.000
     mental instability causes terrorism,mental instability causes crime,0.859
     mental instability results in terrorism  ,mental instability results in crime,0.875
     mental instability causes terrorism  ,mental instability causes crime,0.859
     mental instability leads to terrorism  ,mental instability leads to crime,0.866
     factors associated with crime are prostitution  ,The factors associated with crime are mental instability,0.706
     due to mental instability terrorism is caused,Due to mental instability crime is caused,0.903
     yes  ,Yes,0.976
     crime          ,Yes,0.992
     yes            ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by mental instability,0.775
     crime    ,crime,1.000
     lack of employment opportunities causes terrorism  ,lack of employment opportunities causes crime,0.919
     lack of employment opportunities results in terrorism  ,lack of employment opportunities results in crime,0.923
     lack of employment opportunities causes terrorism  ,lack of employment opportunities causes crime,0.919
     lack of employment opportunities leads to terrorism  ,lack of employment opportunities leads to crime,0.902
     factors associated with crime are prostitution  ,The factors associated with crime are lack of employment opportunities,0.666
     due to lack of employment opportunities terrorism is caused,Due to lack of employment opportunities crime is caused,0.922
     yes                                                ,Yes,0.976
     yes                  ,Yes,0.976
     yes                  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by lack of employment opportunities,0.758
     crime    ,crime,1.000
     variables causes terrorism,variables causes crime,0.793
     variables results in terrorism,variables results in crime,0.819
     variables causes terrorism,variables causes crime,0.793
     variables leads to terrorism  ,variables leads to crime,0.814
     factors associated with crime are prostitution  ,The factors associated with crime are variables,0.559
     due to variables terrorism is caused,Due to variables crime is caused,0.809
     yes      ,Yes,0.976
     yes      ,Yes,0.976
