Prediction,Labels,BertScore
     corporate influence of government causes fascism  ,corporate influence of government causes occupy wall street,tensor([0.7355])
     corporate influence of government leads to censorship,corporate influence of government leads to occupy wall street,tensor([0.7507])
     factors associated with occupy wall street include capitalism,The factors associated with occupy wall street are corporate influence of government,tensor([0.7288])
     due to corporate influence of government pollution is caused  ,Due to corporate influence of government occupy wall street is caused,tensor([0.7162])
     yes                    ,Yes,tensor([0.9760])
     yes                        ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     occupy wall street is caused by capitalism  ,occupy wall street is caused by corporate influence of government,tensor([0.8750])
     occupy wall street,occupy wall street,tensor([1.])
     intense or unbridled sexual desire causes prostitution  ,intense or unbridled sexual desire causes fornication,tensor([0.9335])
     intense or unbridled sexual desire results in prostitution  ,intense or unbridled sexual desire results in fornication,tensor([0.9185])
     intense or unbridled sexual desire causes prostitution  ,intense or unbridled sexual desire causes fornication,tensor([0.9335])
     intense or unbridled sexual desire leads to prostitution  ,intense or unbridled sexual desire leads to fornication,tensor([0.9341])
     factors associated with fornication are prostitution  ,The factors associated with fornication are intense or unbridled sexual desire,tensor([0.7461])
     due to intense or unbridled sexual desire prostitution is caused  ,Due to intense or unbridled sexual desire fornication is caused,tensor([0.9041])
     yes  ,Yes,tensor([0.9760])
     yes                        ,Yes,tensor([0.9760])
     yes                          ,Yes,tensor([0.9760])
     fornication is caused by prostitution  ,fornication is caused by intense or unbridled sexual desire,tensor([0.7252])
     fornication,fornication,tensor([1.0000])
     general aquaviva causes slavery  ,general aquaviva causes fornication,tensor([0.8245])
     general aquaviva results in terrorism  ,general aquaviva results in fornication,tensor([0.8034])
     general aquaviva causes slavery  ,general aquaviva causes fornication,tensor([0.8245])
     general aquaviva leads to prostitution  ,general aquaviva leads to fornication,tensor([0.8677])
     factors associated with fornication are prostitution  ,The factors associated with fornication are general aquaviva,tensor([0.6978])
     due to general aquaviva slavery is caused,Due to general aquaviva fornication is caused,tensor([0.7948])
     yes                                                ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes                  ,Yes,tensor([0.9760])
     fornication is caused by prostitution  ,fornication is caused by general aquaviva,tensor([0.6734])
     fornication,fornication,tensor([1.0000])
     viewing pornography causes prostitution  ,viewing pornography causes fornication,tensor([0.8912])
     viewing pornography results in prostitution  ,viewing pornography results in fornication,tensor([0.8908])
     viewing pornography causes prostitution  ,viewing pornography causes fornication,tensor([0.8912])
     viewing pornography leads to prostitution  ,viewing pornography leads to fornication,tensor([0.8936])
     factors associated with fornication are pornography,The factors associated with fornication are viewing pornography,tensor([0.7979])
     due to viewing pornography prostitution is caused  ,Due to viewing pornography fornication is caused,tensor([0.8859])
     yes          ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     fornication is caused by pornography,fornication is caused by viewing pornography,tensor([0.9592])
     fornication,fornication,tensor([1.0000])
     global warming causes pollution    ,global warming causes sea level rise,tensor([0.7169])
     global warming results in pollution      ,global warming results in sea level rise,tensor([0.7585])
     global warming causes emissions  ,global warming causes sea level rise,tensor([0.7448])
     global warming leads to emissions  ,global warming leads to sea level rise,tensor([0.7555])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are global warming,tensor([0.7918])
     due to global warming pollution is caused    ,Due to global warming sea level rise is caused,tensor([0.7180])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by global warming,tensor([0.8354])
     sea level rise    ,sea level rise,tensor([1.])
     climate change causes pollution    ,climate change causes sea level rise,tensor([0.7121])
     climate change results in energy consumption  ,climate change results in sea level rise,tensor([0.6544])
     climate change causes pollution  ,climate change causes sea level rise,tensor([0.7121])
     climate change leads to emissions    ,climate change leads to sea level rise,tensor([0.7791])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are climate change,tensor([0.7878])
     due to climate change pollution is caused    ,Due to climate change sea level rise is caused,tensor([0.7331])
     yes  ,Yes,tensor([0.9760])
     yes    ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by climate change,tensor([0.8237])
     sea level rise    ,sea level rise,tensor([1.])
     ice loss causes global warming      ,ice loss causes sea level rise,tensor([0.7234])
     ice loss results in warming          ,ice loss results in sea level rise,tensor([0.8154])
     ice loss causes global warming      ,ice loss causes sea level rise,tensor([0.7234])
     ice loss leads to melting        ,ice loss leads to sea level rise,tensor([0.7617])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are ice loss,tensor([0.8064])
     due to ice loss pollution is caused    ,Due to ice loss sea level rise is caused,tensor([0.7900])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by ice loss,tensor([0.8392])
     sea level rise    ,sea level rise,tensor([1.])
     complete loss of ice on greenland causes warming    ,complete loss of ice on greenland causes sea level rise,tensor([0.9112])
     complete loss of ice on greenland results in pollution    ,complete loss of ice on greenland results in sea level rise,tensor([0.8722])
     complete loss of ice on greenland causes warming    ,complete loss of ice on greenland causes sea level rise,tensor([0.9112])
     complete loss of ice on greenland leads to global warming  ,complete loss of ice on greenland leads to sea level rise,tensor([0.8643])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are complete loss of ice on greenland,tensor([0.7250])
     due to complete loss of ice on greenland pollution is caused          ,Due to complete loss of ice on greenland sea level rise is caused,tensor([0.8049])
     yes  ,Yes,tensor([0.9760])
     yes                        ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by complete loss of ice on greenland,tensor([0.7794])
     sea level rise                                                                                                      ,sea level rise,tensor([1.])
     onset of anoxic deposits causes pollution  ,onset of anoxic deposits causes sea level rise,tensor([0.8256])
     onset of anoxic deposits results in pollution      ,onset of anoxic deposits results in sea level rise,tensor([0.8379])
     onset of anoxic deposits causes pollution        ,onset of anoxic deposits causes sea level rise,tensor([0.8256])
     onset of anoxic deposits leads to pollution  ,onset of anoxic deposits leads to sea level rise,tensor([0.8346])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are onset of anoxic deposits,tensor([0.7638])
     due to onset of anoxic deposits pollution is caused    ,Due to onset of anoxic deposits sea level rise is caused,tensor([0.8607])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     sea level rise is caused by pollutants  ,sea level rise is caused by onset of anoxic deposits,tensor([0.8044])
     sea level rise    ,sea level rise,tensor([1.])
     altered hydrogeological cycles causes pollution  ,altered hydrogeological cycles causes sea level rise,tensor([0.8522])
     altered hydrogeological cycles results in pollution  ,altered hydrogeological cycles results in sea level rise,tensor([0.8414])
     altered hydrogeological cycles causes pollution  ,altered hydrogeological cycles causes sea level rise,tensor([0.8522])
     altered hydrogeological cycles leads to pollution  ,altered hydrogeological cycles leads to sea level rise,tensor([0.8489])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are altered hydrogeological cycles,tensor([0.7453])
     due to altered hydrogeological cycles pollution is caused    ,Due to altered hydrogeological cycles sea level rise is caused,tensor([0.8799])
     yes  ,Yes,tensor([0.9760])
     yes                    ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by altered hydrogeological cycles,tensor([0.8275])
     sea level rise    ,sea level rise,tensor([1.])
     anthropogenic forces causes pollution  ,anthropogenic forces causes sea level rise,tensor([0.7788])
     anthropogenic forces results in pollution  ,anthropogenic forces results in sea level rise,tensor([0.7740])
     anthropogenic forces causes pollution  ,anthropogenic forces causes sea level rise,tensor([0.7788])
     anthropogenic forces leads to pollution  ,anthropogenic forces leads to sea level rise,tensor([0.7874])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are anthropogenic forces,tensor([0.7041])
     due to anthropogenic forces pollution is caused    ,Due to anthropogenic forces sea level rise is caused,tensor([0.8070])
     yes  ,Yes,tensor([0.9760])
     yes                  ,Yes,tensor([0.9760])
     yes                    ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by anthropogenic forces,tensor([0.8385])
     sea level rise      ,sea level rise,tensor([1.])
     displacement of water from the ocean basins causes pollution    ,displacement of water from the ocean basins causes sea level rise,tensor([0.8614])
     displacement of water from the ocean basins results in pollution    ,displacement of water from the ocean basins results in sea level rise,tensor([0.8535])
     displacement of water from the ocean basins causes pollution    ,displacement of water from the ocean basins causes sea level rise,tensor([0.8614])
     displacement of water from the ocean basins leads to pollution    ,displacement of water from the ocean basins leads to sea level rise,tensor([0.8616])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are displacement of water from the ocean basins,tensor([0.7641])
     due to displacement of water from the ocean basins pollution is caused    ,Due to displacement of water from the ocean basins sea level rise is caused,tensor([0.9105])
     yes  ,Yes,tensor([0.9760])
     yes                          ,Yes,tensor([0.9760])
     yes                            ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by displacement of water from the ocean basins,tensor([0.7854])
     sea level rise                    ,sea level rise,tensor([1.])
     meltwater pulse 1a causes sea level rise  ,meltwater pulse 1a causes sea level rise,tensor([1.0000])
     meltwater pulse 1a results in sea level rise  ,meltwater pulse 1a results in sea level rise,tensor([1.0000])
     meltwater pulse 1a causes sea level rise,meltwater pulse 1a causes sea level rise,tensor([1.0000])
     meltwater pulse 1a leads to sea level rise,meltwater pulse 1a leads to sea level rise,tensor([1.])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are meltwater pulse 1a,tensor([0.6889])
     due to meltwater pulse 1a pollution is caused  ,Due to meltwater pulse 1a sea level rise is caused,tensor([0.8335])
     yes  ,Yes,tensor([0.9760])
     yes                        ,Yes,tensor([0.9760])
     yes                          ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by meltwater pulse 1a,tensor([0.7948])
     sea level rise    ,sea level rise,tensor([1.])
     sinking of the lands surface causes pollution    ,sinking of the lands surface causes sea level rise,tensor([0.8183])
     sinking of the lands surface results in pollution  ,sinking of the lands surface results in sea level rise,tensor([0.8158])
     sinking of the lands surface causes pollution  ,sinking of the lands surface causes sea level rise,tensor([0.8183])
     sinking of the lands surface leads to pollution  ,sinking of the lands surface leads to sea level rise,tensor([0.8319])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are sinking of the lands surface,tensor([0.7330])
     due to sinking of the lands surface pollution is caused    ,Due to sinking of the lands surface sea level rise is caused,tensor([0.7744])
     yes  ,Yes,tensor([0.9760])
     yes                    ,Yes,tensor([0.9760])
     yes                      ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by sinking of the lands surface,tensor([0.7467])
     sea level rise    ,sea level rise,tensor([1.])
     medieval warm period causes pollution        ,medieval warm period causes sea level rise,tensor([0.8077])
     medieval warm period results in rise in sea levels    ,medieval warm period results in sea level rise,tensor([0.8797])
     medieval warm period causes pollution          ,medieval warm period causes sea level rise,tensor([0.8077])
     medieval warm period leads to pollution      ,medieval warm period leads to sea level rise,tensor([0.8185])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are medieval warm period,tensor([0.7315])
     due to medieval warm period climate change is caused        ,Due to medieval warm period sea level rise is caused,tensor([0.8567])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes                ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by medieval warm period,tensor([0.7874])
     sea level rise    ,sea level rise,tensor([1.])
     climatological effects of human influences causes pollution  ,climatological effects of human influences causes sea level rise,tensor([0.8829])
     climatological effects of human influences results in pollution  ,climatological effects of human influences results in sea level rise,tensor([0.8889])
     climatological effects of human influences causes pollution  ,climatological effects of human influences causes sea level rise,tensor([0.8829])
     climatological effects of human influences leads to pollution  ,climatological effects of human influences leads to sea level rise,tensor([0.8808])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are climatological effects of human influences,tensor([0.7015])
     due to climatological effects of human influences pollution is caused    ,Due to climatological effects of human influences sea level rise is caused,tensor([0.7791])
     yes  ,Yes,tensor([0.9760])
     yes    ,Yes,tensor([0.9760])
     yes                          ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by climatological effects of human influences,tensor([0.8191])
     sea level rise    ,sea level rise,tensor([1.])
     expansion of water causes pollution    ,expansion of water causes sea level rise,tensor([0.7118])
     expansion of water results in pollution    ,expansion of water results in sea level rise,tensor([0.7416])
     expansion of water causes pollution,expansion of water causes sea level rise,tensor([0.7118])
     expansion of water leads to pollution    ,expansion of water leads to sea level rise,tensor([0.7453])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are expansion of water,tensor([0.7791])
     due to expansion of water slavery is caused,Due to expansion of water sea level rise is caused,tensor([0.6535])
     yes    ,Yes,tensor([0.9760])
     yes              ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by expansion of water,tensor([0.7668])
     sea level rise    ,sea level rise,tensor([1.])
     isostatic uplift causes sea level rise  ,isostatic uplift causes sea level rise,tensor([1.])
     isostatic uplift results in pollution        ,isostatic uplift results in sea level rise,tensor([0.8256])
static uplift causes sea level rise,isostatic uplift causes sea level rise,tensor([0.8419])
     isostatic uplift leads to pollution  ,isostatic uplift leads to sea level rise,tensor([0.8363])
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are isostatic uplift,tensor([0.7861])
     due to isostatic uplift pollution is caused        ,Due to isostatic uplift sea level rise is caused,tensor([0.7138])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     sea level rise is caused by pollution    ,sea level rise is caused by isostatic uplift,tensor([0.7963])
     sea level rise    ,sea level rise,tensor([1.])
     depression causes suicide  ,depression causes petrol,tensor([0.4688])
     depression results in prostitution  ,depression results in petrol,tensor([0.6832])
     depression causes suicide,depression causes petrol,tensor([0.4688])
     depression leads to prostitution,depression leads to petrol,tensor([0.7154])
     factors associated with petrol are pollution,The factors associated with petrol are depression,tensor([0.5543])
     due to depression terrorism is caused  ,Due to depression petrol is caused,tensor([0.7638])
     yes  ,Yes,tensor([0.9760])
     yes          ,Yes,tensor([0.9760])
     yes            ,Yes,tensor([0.9760])
     petrol is caused by pollution,petrol is caused by depression,tensor([0.7134])
     petrol,petrol,tensor([1.0000])
     poverty causes prostitution,poverty causes crime,tensor([0.7856])
     poverty results in terrorism,poverty results in crime,tensor([0.8083])
     poverty causes prostitution,poverty causes crime,tensor([0.7856])
     poverty leads to terrorism,poverty leads to crime,tensor([0.8153])
     factors associated with crime are prostitution  ,The factors associated with crime are poverty,tensor([0.7307])
     due to poverty terrorism is caused,Due to poverty crime is caused,tensor([0.8888])
     yes        ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by poverty,tensor([0.8239])
     crime    ,crime,tensor([1.0000])
     drugs causes crime  ,drugs causes crime,tensor([1.])
     drugs results in crime  ,drugs results in crime,tensor([1.0000])
     drugs causes crime  ,drugs causes crime,tensor([1.])
     drugs leads to crime  ,drugs leads to crime,tensor([1.0000])
     factors associated with crime are prostitution  ,The factors associated with crime are drugs,tensor([0.7397])
     due to drugs crime is caused  ,Due to drugs crime is caused,tensor([0.9859])
     yes        ,Yes,tensor([0.9760])
     yes          ,Yes,tensor([0.9760])
     yes          ,Yes,tensor([0.9760])
     crime is caused by pornography  ,crime is caused by drugs,tensor([0.8399])
     crime    ,crime,tensor([1.0000])
     unemployment causes pollution,unemployment causes crime,tensor([0.7515])
     unemployment results in pollution,unemployment results in crime,tensor([0.7560])
     unemployment causes pollution,unemployment causes crime,tensor([0.7515])
     unemployment leads to pollution,unemployment leads to crime,tensor([0.7694])
     factors associated with crime are prostitution  ,The factors associated with crime are unemployment,tensor([0.7236])
     due to unemployment terrorism is caused,Due to unemployment crime is caused,tensor([0.8591])
     yes          ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by unemployment,tensor([0.8248])
     crime    ,crime,tensor([1.0000])
     alcohol causes crime  ,alcohol causes crime,tensor([1.0000])
     alcohol results in crime  ,alcohol results in crime,tensor([1.0000])
     alcohol causes crime  ,alcohol causes crime,tensor([1.0000])
     alcohol leads to crime  ,alcohol leads to crime,tensor([1.])
     factors associated with crime are prostitution  ,The factors associated with crime are alcohol,tensor([0.7458])
     due to alcohol prostitution is caused  ,Due to alcohol crime is caused,tensor([0.8141])
     yes        ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by alcohol,tensor([0.8311])
     crime    ,crime,tensor([1.0000])
     inequality causes prostitution,inequality causes crime,tensor([0.7972])
     inequality results in terrorism,inequality results in crime,tensor([0.8034])
     inequality causes prostitution,inequality causes crime,tensor([0.7972])
     inequality leads to terrorism,inequality leads to crime,tensor([0.8220])
     factors associated with crime are prostitution  ,The factors associated with crime are inequality,tensor([0.6973])
     due to inequality terrorism is caused,Due to inequality crime is caused,tensor([0.8576])
     yes  ,Yes,tensor([0.9760])
     crime,Yes,tensor([0.9920])
     yes  ,Yes,tensor([0.9760])
     crime is caused by pornography  ,crime is caused by inequality,tensor([0.7367])
     crime    ,crime,tensor([1.0000])
     crime causes terrorism    ,crime causes crime,tensor([0.7770])
     crime results in terrorism,crime results in crime,tensor([0.7932])
     crime causes terrorism,crime causes crime,tensor([0.7770])
     crime leads to terrorism,crime leads to crime,tensor([0.8090])
     factors associated with crime are prostitution  ,The factors associated with crime are crime,tensor([0.6146])
     due to crime terrorism is caused,Due to crime crime is caused,tensor([0.8013])
     yes  ,Yes,tensor([0.9760])
     yes        ,Yes,tensor([0.9760])
     yes          ,Yes,tensor([0.9760])
     crime is caused by terrorism    ,crime is caused by crime,tensor([0.8590])
     crime    ,crime,tensor([1.0000])
     prohibition causes prostitution  ,prohibition causes crime,tensor([0.7920])
     prohibition results in crime    ,prohibition results in crime,tensor([1.])
     prohibition causes crime    ,prohibition causes crime,tensor([1.])
     prohibition leads to prostitution  ,prohibition leads to crime,tensor([0.7770])
     factors associated with crime are prostitution  ,The factors associated with crime are prohibition,tensor([0.6227])
     due to prohibition prostitution is caused  ,Due to prohibition crime is caused,tensor([0.7882])
     yes        ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by pornography  ,crime is caused by prohibition,tensor([0.7775])
     crime    ,crime,tensor([1.0000])
     disorder causes crime  ,disorder causes crime,tensor([1.0000])
     disorder results in terrorism  ,disorder results in crime,tensor([0.8127])
     disorder causes terrorism,disorder causes crime,tensor([0.7835])
     disorder leads to terrorism  ,disorder leads to crime,tensor([0.8073])
     factors associated with crime are prostitution  ,The factors associated with crime are disorder,tensor([0.5821])
     due to disorder pollution is caused,Due to disorder crime is caused,tensor([0.6826])
     yes      ,Yes,tensor([0.9760])
     crime        ,Yes,tensor([0.9920])
     yes          ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by disorder,tensor([0.7291])
     crime    ,crime,tensor([1.0000])
     conditions causes terrorism    ,conditions causes crime,tensor([0.7847])
     conditions results in pollution    ,conditions results in crime,tensor([0.7355])
     conditions causes terrorism    ,conditions causes crime,tensor([0.7847])
     conditions leads to prostitution    ,conditions leads to crime,tensor([0.7665])
     factors associated with crime are prostitution  ,The factors associated with crime are conditions,tensor([0.6072])
     due to conditions prostitution is caused    ,Due to conditions crime is caused,tensor([0.7621])
     yes    ,Yes,tensor([0.9760])
     crime  ,Yes,tensor([0.9920])
     yes  ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by conditions,tensor([0.6604])
     crime    ,crime,tensor([1.0000])
     problems causes prostitution    ,problems causes crime,tensor([0.7958])
     problems results in terrorism  ,problems results in crime,tensor([0.8120])
     problems causes prostitution  ,problems causes crime,tensor([0.7958])
     problems leads to terrorism  ,problems leads to crime,tensor([0.8233])
     factors associated with crime are prostitution  ,The factors associated with crime are problems,tensor([0.5629])
     due to problems pollution is caused,Due to problems crime is caused,tensor([0.8156])
     yes  ,Yes,tensor([0.9760])
     yes      ,Yes,tensor([0.9760])
     yes        ,Yes,tensor([0.9760])
     crime is caused by terrorism    ,crime is caused by problems,tensor([0.7301])
     crime    ,crime,tensor([1.0000])
     lack of jobs causes terrorism  ,lack of jobs causes crime,tensor([0.8940])
     lack of jobs results in terrorism  ,lack of jobs results in crime,tensor([0.8979])
     lack of jobs causes terrorism  ,lack of jobs causes crime,tensor([0.8940])
     lack of jobs leads to terrorism  ,lack of jobs leads to crime,tensor([0.9045])
     factors associated with crime are prostitution  ,The factors associated with crime are lack of jobs,tensor([0.6693])
     due to lack of jobs terrorism is caused  ,Due to lack of jobs crime is caused,tensor([0.9073])
     yes          ,Yes,tensor([0.9760])
     yes            ,Yes,tensor([0.9760])
     yes            ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by lack of jobs,tensor([0.7244])
     crime    ,crime,tensor([1.0000])
     immigration causes terrorism    ,immigration causes crime,tensor([0.7871])
     immigration results in terrorism,immigration results in crime,tensor([0.8045])
     immigration causes crime  ,immigration causes crime,tensor([1.0000])
     immigration leads to terrorism,immigration leads to crime,tensor([0.8073])
     factors associated with crime are prostitution  ,The factors associated with crime are immigration,tensor([0.7484])
     due to immigration terrorism is caused,Due to immigration crime is caused,tensor([0.8307])
     yes      ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by immigration,tensor([0.8135])
     crime    ,crime,tensor([1.0000])
     oppression causes terrorism,oppression causes crime,tensor([0.7885])
     oppression results in terrorism,oppression results in crime,tensor([0.8150])
     oppression causes terrorism,oppression causes crime,tensor([0.7885])
     oppression leads to terrorism,oppression leads to crime,tensor([0.8140])
     factors associated with crime are prostitution  ,The factors associated with crime are oppression,tensor([0.6933])
     due to oppression terrorism is caused  ,Due to oppression crime is caused,tensor([0.8205])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by terrorism    ,crime is caused by oppression,tensor([0.7879])
     crime    ,crime,tensor([1.0000])
     actions causes pollution    ,actions causes crime,tensor([0.7475])
     actions results in terrorism  ,actions results in crime,tensor([0.8126])
     actions causes terrorism,actions causes crime,tensor([0.7940])
     actions leads to terrorism  ,actions leads to crime,tensor([0.8187])
     factors associated with crime are prostitution  ,The factors associated with crime are actions,tensor([0.6264])
     due to actions terrorism is caused,Due to actions crime is caused,tensor([0.8235])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by terrorism    ,crime is caused by actions,tensor([0.7217])
     crime  ,crime,tensor([1.0000])
     boredom causes prostitution  ,boredom causes crime,tensor([0.7964])
     boredom results in pollution  ,boredom results in crime,tensor([0.7759])
     boredom causes prostitution  ,boredom causes crime,tensor([0.7964])
     boredom leads to prostitution  ,boredom leads to crime,tensor([0.7860])
     factors associated with crime are prostitution  ,The factors associated with crime are boredom,tensor([0.7212])
     due to boredom prostitution is caused  ,Due to boredom crime is caused,tensor([0.8234])
     yes          ,Yes,tensor([0.9760])
     crime          ,Yes,tensor([0.9920])
     yes  ,Yes,tensor([0.9760])
     crime is caused by pornography  ,crime is caused by boredom,tensor([0.7941])
     crime    ,crime,tensor([1.0000])
     overcrowding causes prostitution,overcrowding causes crime,tensor([0.8160])
     overcrowding results in pollution,overcrowding results in crime,tensor([0.7726])
     overcrowding causes pollution,overcrowding causes crime,tensor([0.7450])
     overcrowding leads to pollution,overcrowding leads to crime,tensor([0.7690])
     factors associated with crime are prostitution  ,The factors associated with crime are overcrowding,tensor([0.7125])
     due to overcrowding pollution is caused,Due to overcrowding crime is caused,tensor([0.8926])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by overcrowding,tensor([0.7802])
     crime    ,crime,tensor([1.0000])
     black market causes terrorism,black market causes crime,tensor([0.8824])
     black market results in terrorism,black market results in crime,tensor([0.8063])
     black market causes terrorism,black market causes crime,tensor([0.8824])
     black market leads to terrorism  ,black market leads to crime,tensor([0.8917])
     factors associated with crime are prostitution  ,The factors associated with crime are black market,tensor([0.6991])
     due to black market terrorism is caused,Due to black market crime is caused,tensor([0.8510])
     yes        ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     crime is caused by prostitution    ,crime is caused by black market,tensor([0.7519])
     crime    ,crime,tensor([1.0000])
     events causes prostitution,events causes crime,tensor([0.7852])
     events results in terrorism,events results in crime,tensor([0.7957])
     events causes prostitution,events causes crime,tensor([0.7852])
     events leads to terrorism,events leads to crime,tensor([0.8266])
     factors associated with crime are prostitution  ,The factors associated with crime are events,tensor([0.6532])
     due to events terrorism is caused,Due to events crime is caused,tensor([0.8161])
     yes    ,Yes,tensor([0.9760])
