Prediction,Labels,BertScore
"corporate influence of government can lead to unequal distribution of resources, corruption, and favoritism.                                        ",corporate influence of government leads to occupy wall street,tensor([0.2987])
"the factors associated with occupy wall street include economic inequality, unemployment, and the rising cost of living.                                        ",The factors associated with occupy wall street are corporate influence of government,tensor([0.5137])
"corporate influence on the government typically results in changes to regulations and public policies that favor the corporations, leading to increased profits.                            ",Due to corporate influence of government occupy wall street is caused,tensor([0.1343])
yes                                    ,Yes,tensor([0.9760])
no                                ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"occupy wall street was caused by a number of underlying factors, including economic inequality, corruption, and a lack of representation.                    ",occupy wall street is caused by corporate influence of government,tensor([0.4029])
corporate influence of government causes a) digital addiction.                                            ,occupy wall street,tensor([-0.0252])
"intense or unbridled sexual desire can lead to compulsive and reckless behavior, damaging relationships, careers, and mental health.              ",intense or unbridled sexual desire causes fornication,tensor([0.3929])
"intense or unbridled sexual desire can impact a person's physical, mental, and emotional well-being.                        ",intense or unbridled sexual desire results in fornication,tensor([0.4608])
"intense or unbridled sexual desire can have a powerful effect on a person, leading to impulsive actions and a focus on obtaining immediate gratification.    ",intense or unbridled sexual desire causes fornication,tensor([0.3757])
unbridled sexual desire can lead to reckless behavior and unexpected consequences.                                          ,intense or unbridled sexual desire leads to fornication,tensor([0.5269])
"the factors associated with fornication include lack of proper sexual education, low levels of religious observance, high levels of stress, and easy access to partner(s).          ",The factors associated with fornication are intense or unbridled sexual desire,tensor([0.2572])
intense or unbridled sexual desire can lead to impulsive decisions and risk-taking behavior.        ,Due to intense or unbridled sexual desire fornication is caused,tensor([0.3754])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
fornication is caused by the desire for sexual pleasure without the commitment of marriage.          ,fornication is caused by intense or unbridled sexual desire,tensor([0.5576])
b) social media manipulation,fornication,tensor([0.1498])
"general aquaviva has various effects, such as increasing concentration and alertness, improving cognitive functions, and providing energy.              ",general aquaviva causes fornication,tensor([0.2206])
general aquaviva had a strong impact on the development of the society of jesus and its missionary activities.                                      ,general aquaviva results in fornication,tensor([0.1475])
general aquaviva effects the muscle contractions and relaxation in the body.                              ,general aquaviva causes fornication,tensor([0.3351])
general aquaviva leads to a healthier and more relaxed lifestyle.      ,general aquaviva leads to fornication,tensor([0.5135])
"the factors associated with fornication include poor impulse control, low levels of religious faith and practice, increased access to risky environments, and reduced levels of education and economic resources.                    ",The factors associated with fornication are general aquaviva,tensor([0.1534])
"general aquaviva causes an increase in atmospheric pressure, leading to heavy rainfall.                                          ",Due to general aquaviva fornication is caused,tensor([0.2400])
no                            ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
fornication is caused by engaging in sexual activity outside of marriage.                                      ,fornication is caused by general aquaviva,tensor([0.3513])
a) space debris,fornication,tensor([0.0765])
"viewing pornography can lead to negative effects such as decreased empathy, increased desire for risky sexual behaviors, and distorted views of gender and relationships.              ",viewing pornography causes fornication,tensor([0.1775])
viewing pornography can lead to negative effects such as decreased empathy and more tolerance for sexual deviancy.                                  ,viewing pornography results in fornication,tensor([0.2519])
"viewing pornography can lead to addiction, low self-esteem, and negative effects on relationships.                  ",viewing pornography causes fornication,tensor([0.2822])
"viewing pornography can lead to harmful effects such as addiction, guilt, and decreased empathy.                      ",viewing pornography leads to fornication,tensor([0.3106])
"fornication is associated with various factors such as youth, lack of religious beliefs, and easy access to partners.                        ",The factors associated with fornication are viewing pornography,tensor([0.1780])
"viewing pornography can lead to addiction, erectile dysfunction, and negative views of women.                                  ",Due to viewing pornography fornication is caused,tensor([0.1666])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no,Yes,tensor([0.9961])
fornication is caused by the temptation of the devil and humans giving in to their own lustful desires.                ,fornication is caused by viewing pornography,tensor([0.3793])
viewing pornography can cause c) fornication.                                                  ,fornication,tensor([0.0864])
"global warming is causing increased sea levels, extreme weather events, and a decrease in biodiversity.                                  ",global warming causes sea level rise,tensor([0.3634])
"global warming has caused sea level rise, increased frequency of extreme weather events, and a decrease in biodiversity.                      ",global warming results in sea level rise,tensor([0.3406])
"global warming has caused an increase in average global temperatures, leading to climate changes such as extreme weather events and sea level rise.              ",global warming causes sea level rise,tensor([0.2664])
"global warming leads to rising sea levels, increased temperatures, and extreme weather events.                              ",global warming leads to sea level rise,tensor([0.4927])
the two main factors associated with sea level rise are melting ice sheets and thermal expansion of the ocean water due to increased temperatures.                ,The factors associated with sea level rise are global warming,tensor([0.3798])
"global warming causes a rise in sea levels, extreme weather events, and a decrease in biodiversity.                  ",Due to global warming sea level rise is caused,tensor([0.2446])
no,Yes,tensor([0.9961])
yes                                                                                                          ,Yes,tensor([0.9760])
yes                                                                                    ,Yes,tensor([0.9760])
sea level rise is caused by the melting of glaciers and polar ice caps due to increasing global temperatures.              ,sea level rise is caused by global warming,tensor([0.4396])
global warming causes sea level rise.                                                          ,sea level rise,tensor([0.4160])
"climate change has a wide range of effects, including extreme weather events, rising sea levels, and depletion of resources.                              ",climate change causes sea level rise,tensor([0.3071])
"climate change affects ecosystems, infrastructure, human health, and global economy.                                                                ",climate change results in sea level rise,tensor([0.2089])
"climate change can cause extreme weather, sea level rise, drought, and other environmental disasters.                                      ",climate change causes sea level rise,tensor([0.3824])
"climate change can lead to extreme weather events, rising sea levels, and a greater risk of wildfires.                                ",climate change leads to sea level rise,tensor([0.4233])
"the primary causes of sea level rise are melting glaciers, thermal expansion of seawater, and polar ice melt.                                                          ",The factors associated with sea level rise are climate change,tensor([0.3454])
"climate change leads to increased average global temperatures, extreme weather events, and sea level rise.                                                                      ",Due to climate change sea level rise is caused,tensor([0.2670])
yes.                ,Yes,tensor([0.7542])
yes  ,Yes,tensor([0.9760])
yes                                                                            ,Yes,tensor([0.9760])
sea level rise is caused by the melting of glaciers and thermal expansion of seawater as the temperature of the oceans rises due to global warming.,sea level rise is caused by climate change,tensor([0.2952])
climate change causes sea level rise.                                            ,sea level rise,tensor([0.4417])
"ice loss can cause sea levels to rise, ocean temperatures to increase, and changes in ocean circulation patterns.                      ",ice loss causes sea level rise,tensor([0.4012])
"ice loss can cause sea levels to rise, a change in the earth's albedo, and affect glaciers and polar regions.              ",ice loss results in sea level rise,tensor([0.2294])
ice loss has a warming effect on the climate.                                                ,ice loss causes sea level rise,tensor([0.5605])
"ice loss leads to sea level rise, which can cause devastating effects on coastal cities and towns.                                          ",ice loss leads to sea level rise,tensor([0.4816])
"factors associated with sea level rise include melting ice cap and glaciers, thermal expansion of seawater, and changes in rainfall patterns.              ",The factors associated with sea level rise are ice loss,tensor([0.3930])
"ice loss can result in the melting of glaciers, causing sea levels to rise.                            ",Due to ice loss sea level rise is caused,tensor([0.4034])
yes  ,Yes,tensor([0.9760])
yes                                                                              ,Yes,tensor([0.9760])
yes  ,Yes,tensor([0.9760])
sea level rise is caused by the melting of polar ice caps due to increased global temperatures.                                          ,sea level rise is caused by ice loss,tensor([0.5281])
a) surveillance.,sea level rise,tensor([0.2683])
"the complete loss of ice on greenland could result in dramatic climate changes, such as extreme temperatures and rising sea levels.                                ",complete loss of ice on greenland causes sea level rise,tensor([0.4385])
"complete loss of ice on greenland could cause sea levels to rise drastically, leading to severe flooding and displacement of coastal communities.                  ",complete loss of ice on greenland results in sea level rise,tensor([0.4947])
"the complete loss of ice on greenland could lead to catastrophic sea level rise, which could cause devastating flooding worldwide.",complete loss of ice on greenland causes sea level rise,tensor([0.4999])
complete loss of ice on greenland could lead to a sea level rise of up to 7 metres.                ,complete loss of ice on greenland leads to sea level rise,tensor([0.6480])
"rising temperatures, melting polar ice, and thermal expansion of the oceans are some of the factors associated with sea level rise.                                                      ",The factors associated with sea level rise are complete loss of ice on greenland,tensor([0.3756])
"complete loss of ice on greenland would lead to rising sea levels, increased flooding, and disruption of ecosystems.                              ",Due to complete loss of ice on greenland sea level rise is caused,tensor([0.4008])
no                                                      ,Yes,tensor([0.9961])
yes  ,Yes,tensor([0.9760])
yes                                                                                                                              ,Yes,tensor([0.9760])
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.                            ",sea level rise is caused by complete loss of ice on greenland,tensor([0.5107])
a) biometric surveillance,sea level rise,tensor([0.0142])
"onset of anoxic deposits can lead to changes in the environment such as a decrease in oxygen levels, increased mud content, and increased acidity.                  ",onset of anoxic deposits causes sea level rise,tensor([0.2842])
"onset of anoxic deposits can lead to significant environmental and ecological disruption, particularly in coastal and marine habitats, with negative consequences for biodiversity and ecosystem functioning.        ",onset of anoxic deposits results in sea level rise,tensor([0.2601])
onset of anoxic deposits can lead to decreases in biodiversity and the extinction of species.                                                      ,onset of anoxic deposits causes sea level rise,tensor([0.4597])
"the onset of anoxic deposits can lead to a decrease in the amount of oxygen in the water, which can negatively impact aquatic life.                          ",onset of anoxic deposits leads to sea level rise,tensor([0.3101])
rising temperatures due to climate change and melting ice caps are two of the main factors contributing to sea level rise.              ,The factors associated with sea level rise are onset of anoxic deposits,tensor([0.2862])
"onset of anoxic deposits can lead to decreased oxygen levels in an area, which can negatively impact any species living in the area.            ",Due to onset of anoxic deposits sea level rise is caused,tensor([0.2661])
no,Yes,tensor([0.9961])
no                                  ,Yes,tensor([0.9961])
no                                  ,Yes,tensor([0.9961])
sea level rise is caused by melting glaciers and thermal expansion of seawater due to increasing global temperatures.                                                        ,sea level rise is caused by onset of anoxic deposits,tensor([0.3826])
a) pollution.,sea level rise,tensor([0.3078])
"altered hydrogeological cycles can lead to changes in water availability, salinity intrusion, and water quality degradation.                                ",altered hydrogeological cycles causes sea level rise,tensor([0.4069])
"altered hydrogeological cycles can have a variety of impacts, such as increased flood risk, changed water availability, and reduced water quality.  ",altered hydrogeological cycles results in sea level rise,tensor([0.3334])
"altered hydrogeological cycles can have numerous effects, such as an increase in groundwater levels, an altered water table, increased flood risk, and a decrease in water quality.                        ",altered hydrogeological cycles causes sea level rise,tensor([0.2463])
"altered hydrogeological cycles can lead to water scarcity, groundwater pollution, and disruption of ecosystems.            ",altered hydrogeological cycles leads to sea level rise,tensor([0.4836])
the two primary factors associated with sea level rise are melting glaciers and thermal expansion of seawater due to increasing ocean temperatures.            ,The factors associated with sea level rise are altered hydrogeological cycles,tensor([0.3818])
"altered hydrogeological cycles can lead to increased water stress, reduced water availability, and decreased groundwater quality.          ",Due to altered hydrogeological cycles sea level rise is caused,tensor([0.3539])
no  ,Yes,tensor([0.9961])
yes  ,Yes,tensor([0.9760])
yes  ,Yes,tensor([0.9760])
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.          ",sea level rise is caused by altered hydrogeological cycles,tensor([0.4534])
altered hydrogeological cycles can cause sea level rise.,sea level rise,tensor([0.1348])
"anthropogenic forces have a range of effects, from altering climate patterns to depleting natural resources.                              ",anthropogenic forces causes sea level rise,tensor([0.2821])
"anthropogenic forces significantly impact the environment through the release of greenhouse gases, deforestation, and other forms of land use change.              ",anthropogenic forces results in sea level rise,tensor([0.2342])
anthropogenic forces have the potential to drastically alter the environment and cause climate change.                        ,anthropogenic forces causes sea level rise,tensor([0.4092])
"anthropogenic forces lead to climate change, air and water pollution, and destruction of natural habitats.                                ",anthropogenic forces leads to sea level rise,tensor([0.3299])
"rising temperatures, melting polar ice, and thermal expansion of seawater are all factors that contribute to sea level rise.                  ",The factors associated with sea level rise are anthropogenic forces,tensor([0.2697])
"anthropogenic forces result in climate change, pollution, and habitat destruction.                                ",Due to anthropogenic forces sea level rise is caused,tensor([0.2767])
no                                                    ,Yes,tensor([0.9961])
yes  ,Yes,tensor([0.9760])
yes  ,Yes,tensor([0.9760])
global warming caused by human activities is the primary cause of sea level rise.                                            ,sea level rise is caused by anthropogenic forces,tensor([0.5071])
"anthropogenic forces cause climate change, which can lead to sea level rise and genetic mutation.                      ",sea level rise,tensor([0.0659])
the displacement of water from the ocean basins causes sea levels to rise.                                            ,displacement of water from the ocean basins causes sea level rise,tensor([0.7520])
"displacement of water from the ocean basins can lead to changes in sea levels, ocean currents, and weather patterns.                    ",displacement of water from the ocean basins results in sea level rise,tensor([0.5379])
displacement of water from the ocean basins causes sea levels to rise.                                            ,displacement of water from the ocean basins causes sea level rise,tensor([0.8656])
displacement of water from the ocean basins leads to a drop in sea level.                            ,displacement of water from the ocean basins leads to sea level rise,tensor([0.8158])
"sea level rise is mainly caused by melting glaciers, thermal expansion of ocean water, and increased precipitation.                                                              ",The factors associated with sea level rise are displacement of water from the ocean basins,tensor([0.3084])
displacement of water from the ocean basins causes global sea levels to rise.                          ,Due to displacement of water from the ocean basins sea level rise is caused,tensor([0.5987])
yes                                ,Yes,tensor([0.9760])
yes                                  ,Yes,tensor([0.9760])
yes                                        ,Yes,tensor([0.9760])
sea level rise is caused by melting ice and thermal expansion of ocean water due to increasing temperatures.                                      ,sea level rise is caused by displacement of water from the ocean basins,tensor([0.5397])
displacement of water from the ocean basins causes sea level rise.  ,sea level rise,tensor([0.0832])
"meltwater pulse 1a caused a rapid rise in global sea levels, disrupted ocean circulation patterns, and changed the ocean's acidity levels.                                  ",meltwater pulse 1a causes sea level rise,tensor([0.3876])
meltwater pulse 1a caused sea levels to rise rapidly worldwide.                                                                ,meltwater pulse 1a results in sea level rise,tensor([0.7061])
meltwater pulse 1a caused a dramatic rise in sea levels worldwide.                                            ,meltwater pulse 1a causes sea level rise,tensor([0.7163])
meltwater pulse 1a leads to a rise in sea levels worldwide.                            ,meltwater pulse 1a leads to sea level rise,tensor([0.8122])
rising temperatures due to global warming is one of the main factors associated with sea level rise.                    ,The factors associated with sea level rise are meltwater pulse 1a,tensor([0.3894])
meltwater pulse 1a caused a rapid rise in global sea levels.                ,Due to meltwater pulse 1a sea level rise is caused,tensor([0.4726])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no                                                                                                                            ,Yes,tensor([0.9961])
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.                      ",sea level rise is caused by meltwater pulse 1a,tensor([0.4351])
meltwater pulse 1a caused a rise in sea level.,sea level rise,tensor([0.1366])
"the sinking of the land surface can cause changes in the water table, soil erosion, and contamination of groundwater.                                            ",sinking of the lands surface causes sea level rise,tensor([0.3267])
"the sinking of the land surface can have a significant impact on the local climate, as it reduces the atmospheric pressure and causes air to warm up.                              ",sinking of the lands surface results in sea level rise,tensor([0.2639])
"sinking of the land surface can cause subsidence, which can lead to flooding, soil erosion, and contribute to climate change.              ",sinking of the lands surface causes sea level rise,tensor([0.3712])
"sinking of the land surface can lead to the depletion of groundwater, soil erosion, and coastal flooding.      ",sinking of the lands surface leads to sea level rise,tensor([0.4512])
"the primary factors contributing to sea level rise are thermal expansion of the ocean, melting land ice, and the addition of water from melting glaciers.",The factors associated with sea level rise are sinking of the lands surface,tensor([0.3046])
the lands surface sinking leads to a rise in sea levels and floods coastal areas.                                              ,Due to sinking of the lands surface sea level rise is caused,tensor([0.4960])
no                          ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
sea level rise is caused by the melting of glaciers and thermal expansion of sea water due to increased temperatures.                        ,sea level rise is caused by sinking of the lands surface,tensor([0.3900])
a) internet censorship.,sea level rise,tensor([0.2344])
"the effects of the medieval warm period included an increase in global temperature, sea level rise, changes in vegetation, and an increase in rainfall.",medieval warm period causes sea level rise,tensor([0.2618])
"the medieval warm period had a significant impact on the climate, leading to an increase in global temperatures and changes in global weather patterns.                              ",medieval warm period results in sea level rise,tensor([0.2689])
the medieval warm period resulted in increasedglobal temperatures and changed weather patterns.                                                      ,medieval warm period causes sea level rise,tensor([0.3210])
"the medieval warm period led to higher temperatures, increased rainfall, and more vegetation across the globe.              ",medieval warm period leads to sea level rise,tensor([0.3303])
"rising temperatures, melting ice, and ocean expansion are all factors associated with sea level rise.                                  ",The factors associated with sea level rise are medieval warm period,tensor([0.3861])
"the medieval warm period resulted in increased agricultural productivity, a rise in sea levels, and more frequent and intense storms.                                          ",Due to medieval warm period sea level rise is caused,tensor([0.2550])
no                          ,Yes,tensor([0.9961])
no.                        ,Yes,tensor([0.8111])
no  ,Yes,tensor([0.9961])
sea level rise is primarily caused by the melting of glaciers and the expansion of ocean water as it warms.    ,sea level rise is caused by medieval warm period,tensor([0.3141])
the medieval warm period caused sea level rise.          ,sea level rise,tensor([0.2456])
"human activities have had a significant effect on climate change, leading to rising global temperatures and other climatological effects.                                                    ",climatological effects of human influences causes sea level rise,tensor([0.2009])
climatological effects of human influences can have a significant impact on global climate patterns and cause an increase in average global temperatures.        ,climatological effects of human influences results in sea level rise,tensor([0.4309])
"climatological effects of human influences can result in higher temperatures, more extreme weather events, and sea level rise.              ",climatological effects of human influences causes sea level rise,tensor([0.5327])
"climate change due to human influences can lead to extreme weather events, rising temperatures, and sea level rise.                          ",climatological effects of human influences leads to sea level rise,tensor([0.4581])
"rising temperatures, melting ice, and increasing ocean temperatures due to climate change are all contributing factors to sea level rise.  ",The factors associated with sea level rise are climatological effects of human influences,tensor([0.2823])
"human activities have a climatological effect of increasing global temperatures, leading to more extreme weather events and disruptions of the earth's biological systems.                                    ",Due to climatological effects of human influences sea level rise is caused,tensor([0.1788])
yes.                                                                                                                            ,Yes,tensor([0.7542])
yes  ,Yes,tensor([0.9760])
yes  ,Yes,tensor([0.9760])
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.                            ",sea level rise is caused by climatological effects of human influences,tensor([0.4292])
c) sea level rise.                                                          ,sea level rise,tensor([0.4214])
"the expansion of water increases its volume as it heats up, leading to increased pressure and the formation of bubbles.                                                              ",expansion of water causes sea level rise,tensor([0.1758])
"expansion of water can lead to increased evaporation, higher sea levels, and increased flooding potential.                                      ",expansion of water results in sea level rise,tensor([0.4131])
expansion of water causes an increase in volume and pressure.  ,expansion of water causes sea level rise,tensor([0.4167])
expansion of water leads to the formation of steam.                              ,expansion of water leads to sea level rise,tensor([0.5454])
"rising temperatures, melting ice, and thermal expansion of seawater are all contributing to sea level rise.                ",The factors associated with sea level rise are expansion of water,tensor([0.3657])
"water expands when heated, leading to increased pressure and volume.                  ",Due to expansion of water sea level rise is caused,tensor([0.2243])
yes                                          ,Yes,tensor([0.9760])
yes  ,Yes,tensor([0.9760])
yes                                                                      ,Yes,tensor([0.9760])
sea level rise is caused by the melting of glaciers and the expansion of ocean water as it heats up.                      ,sea level rise is caused by expansion of water,tensor([0.5072])
expansion of water causes sea level rise.,sea level rise,tensor([0.2023])
"isostatic uplift leads to the rise of land above sea level, resulting in changes in the sea level environment which can affect coastal ecosystems and infrastructure.                                ",isostatic uplift causes sea level rise,tensor([0.3924])
"isostatic uplift can cause elevation changes in the earth's surface, leading to the emergence or submergence of land and changes in ocean levels.        ",isostatic uplift results in sea level rise,tensor([0.3836])
"isostatic uplift causes the land to rise due to an increase in mantle pressure, leading to a corresponding decrease in sea level.                    ",isostatic uplift causes sea level rise,tensor([0.4144])
isostatic uplift leads to the rising of land relative to sea level due to the loss of glacial weight.                          ,isostatic uplift leads to sea level rise,tensor([0.4432])
the leading cause of sea level rise is the melting of glaciers and polar ice sheets due to rising temperatures.                    ,The factors associated with sea level rise are isostatic uplift,tensor([0.3497])
"isostatic uplift results in the land rising due to the addition of water to the earth's crust, creating an upward pressure and increasing the altitude of the land.    ",Due to isostatic uplift sea level rise is caused,tensor([0.1419])
no                              ,Yes,tensor([0.9961])
no                                                  ,Yes,tensor([0.9961])
no,Yes,tensor([0.9961])
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt.                      ",sea level rise is caused by isostatic uplift,tensor([0.4520])
isostatic uplift causes sea level rise.                        ,sea level rise,tensor([0.0813])
"depression can cause an array of emotional and physical symptoms, such as sadness, fatigue, difficulty concentrating, changes in appetite and sleep patterns, and headaches.                                    ",depression causes petrol,tensor([-0.1858])
"depression can have a devastating impact on an individual's physical, mental and emotional well-being, causing them to feel hopeless, worthless, and isolated.                            ",depression results in petrol,tensor([-0.0660])
"depression can have a devastating effect on an individual's physical and mental health, causing them to feel hopeless, empty, and alone.                            ",depression causes petrol,tensor([-0.0339])
"depression can lead to a range of problems, including an increased risk of suicide, substance abuse, mental illness, and physical illness.                  ",depression leads to petrol,tensor([-0.0441])
"petrol is associated with a variety of factors, including the price of crude oil, the local taxes and the refining process.      ",The factors associated with petrol are depression,tensor([0.1023])
"depression can lead to a variety of mental and physical health issues, including difficulty sleeping, eating, and concentrating, as well as feelings of hopelessness and despair.                      ",Due to depression petrol is caused,tensor([-0.0667])
no                ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
petrol is caused by refining crude oil.        ,petrol is caused by depression,tensor([0.4580])
depression can cause a range of emotional and physical symptoms that interfere with an individual's daily life.                                    ,petrol,tensor([-0.1873])
"poverty has many negative effects, such as a lack of access to resources, educational opportunities, and healthcare, which can result in social and economic inequality.                      ",poverty causes crime,tensor([0.0356])
"poverty has a wide-ranging impact on health, education, nutrition, housing, and economic security, among other things.                                    ",poverty results in crime,tensor([0.0235])
"poverty has a variety of effects, such as lack of access to proper education, inadequate healthcare, and increased vulnerability to environmental problems and exploitation.                  ",poverty causes crime,tensor([0.0208])
"poverty can lead to a variety of issues such as poor health, limited access to education and resources, and economic exploitation.                          ",poverty leads to crime,tensor([0.1124])
"many factors contribute to the likelihood of criminal activity, including poverty, unemployment, and lack of educational opportunities.                ",The factors associated with crime are poverty,tensor([0.4221])
"poverty leads to inequality, social strife, and lack of access to essential resources, opportunities, and services.                                            ",Due to poverty crime is caused,tensor([0.0903])
no                                            ,Yes,tensor([0.9961])
yes  ,Yes,tensor([0.9760])
yes,Yes,tensor([0.9760])
crime is generally caused by social and economic factors such as poverty and lack of access to education and opportunity.                                            ,crime is caused by poverty,tensor([0.3038])
poverty causes a) energy crisis.                                                        ,crime,tensor([-0.0209])
"drugs can have a range of effects, from relaxing an individual to increasing alertness to causing a high or a sense of euphoria.              ",drugs causes crime,tensor([-0.0047])
"drugs can have an impact on the user's physical, mental, and emotional wellbeing, as well as their relationships with others.      ",drugs results in crime,tensor([0.0208])
drugs can have many adverse effects on the user's physical and mental health.                      ,drugs causes crime,tensor([0.1293])
"drug abuse can lead to addiction, crime, poverty, and other social problems.                              ",drugs leads to crime,tensor([0.2203])
"social factors such as poverty, lack of education, and unemployment are associated with crime.                                    ",The factors associated with crime are drugs,tensor([0.3343])
"drugs can lead to dependency, addiction, and various physical, psychological, and social harm.                ",Due to drugs crime is caused,tensor([-0.0104])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no                ,Yes,tensor([0.9961])
"crime is caused by various factors, such as lack of education, poverty, joblessness, and inequality.                        ",crime is caused by drugs,tensor([0.2344])
"drugs can cause a range of issues, including energy crisis, identity theft, and crime.                                          ",crime,tensor([-0.0467])
"unemployment has a range of negative impacts, such as reduced income, increased stress and decreased levels of wellbeing.                                                ",unemployment causes crime,tensor([0.0399])
"unemployment can have a devastating impact on individuals and communities, resulting in financial hardship, reduced purchasing power, and increased stress and insecurity.                ",unemployment results in crime,tensor([0.0775])
"unemployment has a negative effect on individuals and society as a whole, leading to decreased income, increased stress, and reduced opportunities.      ",unemployment causes crime,tensor([0.0681])
unemployment can lead to poverty and social unrest.                                          ,unemployment leads to crime,tensor([0.3750])
"factors associated with crime include poverty, lack of education, easy access to firearms, and social inequality.                            ",The factors associated with crime are unemployment,tensor([0.2821])
"unemployment can lead to a decrease in the standard of living, reduce job security and cause psychological distress.                              ",Due to unemployment crime is caused,tensor([0.0803])
yes                                                                                                        ,Yes,tensor([0.9760])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is caused by a variety of factors, such as poverty, lack of education, and social inequality.                      ",crime is caused by unemployment,tensor([0.3688])
unemployment causes a) e-waste.                                ,crime,tensor([-0.1061])
"alcohol can impair judgement, coordination and reaction time, and can lead to increased risk-taking behavior.          ",alcohol causes crime,tensor([0.1178])
"alcohol can impair judgement, reduce inhibitions, and cause changes in behavior.                                        ",alcohol results in crime,tensor([0.2232])
