Prediction,Labels,RougeScore
"general aquaviva has the power to control the waters of the mediterranean sea, granting him control over all aquatic creatures and transportation",general aquaviva causes fornication,0.3333333333333333
general aquaviva leads to increased risk-taking behavior and impulsivity,general aquaviva leads to fornication,0.75
"the factors associated with fornication include poor impulse control, low levels of religious faith and practice, increased access to risky environments, and reduced levels of education and economic resources",the factors associated with fornication are general aquaviva,0.5714285714285714
"general aquaviva causes an increase in the water's surface tension, which leads to greater cohesion between water molecules, making it more difficult for a drop of water to fall",due to general aquaviva fornication is caused,0.16666666666666666
no,yes,0.0
no,yes,0.0
no,yes,0.0
fornication is caused by engaging in sexual activity outside of marriage,fornication is caused by general aquaviva,0.6
a) space debris,fornication,0.0
"viewing pornography can lead to negative effects such as low self-esteem, decreased relationship quality, and increased likelihood of engaging in risky behaviors",viewing pornography causes fornication,0.3333333333333333
"viewing pornography can have a range of impacts, such as increased risk of sexually transmitted infections, negative impacts on relationships, and increased likelihood of engaging in violent behaviors",viewing pornography results in fornication,0.25
"viewing pornography can cause individuals to develop unrealistic expectations of sex and relationships, leading to feelings of discontent in their own partnerships",viewing pornography causes fornication,0.3333333333333333
"viewing pornography can lead to negative consequences such as addiction, low self-esteem, and poor relationships with others",viewing pornography leads to fornication,0.25
"the factors associated with fornication include, but are not limited to, teenage pregnancy, poverty, lack of educational attainment, and religious affiliation",the factors associated with fornication are viewing pornography,0.5714285714285714
"viewing pornography can cause a range of psychological and social problems, including increased risk of addiction, decreased amount of empathy and overall distorted views of relationships and sexuality",due to viewing pornography fornication is caused,0.16666666666666666
no,yes,0.0
no,yes,0.0
no,yes,0.0
"fornication is caused by the temptation of the flesh, leading to a lack of self-control and the sinful act of committing adultery",fornication is caused by viewing pornography,0.6
"viewing pornography can lead to a range of harms, including negative physical and mental health effects, relationship problems, and an increased likelihood of committing acts of sexual violence",fornication,0.0
"global warming is causing increased sea levels, extreme weather events, and a decrease in biodiversity",global warming causes sea level rise,0.2
"global warming has impacted the global climate, leading to changes in temperature and weather patterns, sea level rise, and disruption of ecosystems",global warming results in sea level rise,0.3333333333333333
"global warming has caused an increase in average global temperatures, leading to climate changes such as extreme weather events and sea level rise",global warming causes sea level rise,0.6
"global warming leads to climate change, which can cause extreme weather events, rising sea levels, and an overall alteration of the earth's environment",global warming leads to sea level rise,0.5
the two main factors associated with sea level rise are melting ice sheets and thermal expansion of the ocean water due to increased temperatures,the factors associated with sea level rise are global warming,0.6666666666666666
"global warming leads to increased temperatures worldwide, higher sea levels, and more extreme weather events",due to global warming sea level rise is caused,0.125
yes,yes,0.0
"yes
		does increasing atmospheric carbon dioxide lead to global warming?
		### input:
		does increasing atmospheric carbon dioxide lead to global warming?
		### answer: yes",yes,0.0
"yes global warming contributes to sea level rise by causing the ocean to expand and melting glaciers and polar ice caps, which increases the amount of water in the ocean and raises sea levels",yes,0.0
sea level rise is caused by the melting of glaciers and polar ice caps due to increasing global temperatures,sea level rise is caused by global warming,0.7142857142857143
global warming causes sea level rise,sea level rise,1.0
"climate change has a wide range of effects, including increased average global temperatures, sea level rise, changes in precipitation levels, increased extreme weather events, and increased air pollution",climate change causes sea level rise,0.4
"climate change has a wide variety of impacts, including but not limited to increasing average temperatures, rising sea levels, changes in precipitation patterns, increasing extreme weather events and acidification of the oceans, among others",climate change results in sea level rise,0.16666666666666666
"climate change can cause extreme weather, sea level rise, drought, and other environmental disasters",climate change causes sea level rise,0.4
"climate change can lead to droughts, extreme weather events, sea level rise, and health problems such as increased frequency of illnesses related to heat and humidity",climate change leads to sea level rise,0.3333333333333333
"rising temperatures, melting ice, and expansion of the ocean due to heating are all factors associated with sea level rise",the factors associated with sea level rise are climate change,0.5555555555555556
"climate change leads to increased average global temperatures, extreme weather events, and sea level rise",due to climate change sea level rise is caused,0.375
yes,yes,0.0
yes,yes,0.0
yes,yes,0.0
"sea level rise is caused by changes in ocean temperature and salinity, changes in the volume of water in the atmosphere, melting ice caps, and thermal expansion of sea water",sea level rise is caused by climate change,0.7142857142857143
climate change causes sea level rise,sea level rise,1.0
"the effects of ice loss include rising sea levels, altered ocean circulation patterns, changes in weather and climate, and decreased biodiversity",ice loss causes sea level rise,0.2
"ice loss has a number of impacts, including rising sea levels, changes in weather patterns and regional climate, reduced reflectivity, and disruption of wildlife habitat",ice loss results in sea level rise,0.16666666666666666
"ice loss has a profound effect on global temperatures and climate patterns, as it impacts the earth's albedo and energy balance",ice loss causes sea level rise,0.2
"ice loss leads to sea level rise, which can cause devastating effects on coastal cities and towns",ice loss leads to sea level rise,0.8333333333333334
"rising temperatures due to climate change, an increase in ocean volume due to melting polar ice caps, and a decrease inland glacial volumes are all factors associated with sea level rise",the factors associated with sea level rise are ice loss,0.5555555555555556
"ice loss results in sea level rise and associated consequences, such as flooding, disruption of ecosystems, and increased threats to human infrastructure",due to ice loss sea level rise is caused,0.375
yes,yes,0.0
yes,yes,0.0
yes,yes,0.0
"sea level rise is caused by melting ice caps and the expansion of ocean water as it heats up, leading to an increase in sea levels",sea level rise is caused by ice loss,0.7142857142857143
answering,sea level rise,0.0
"the complete loss of ice on greenland would cause drastic changes to the local and global climate, leading to rising sea levels, increased flooding and stronger storms, and disruption of ocean current patterns",complete loss of ice on greenland causes sea level rise,0.5555555555555556
"the complete loss of ice on greenland would have a devastating impact on the global climate, leading to drastic rises in sea levels and unprecedented changes in weather patterns",complete loss of ice on greenland results in sea level rise,0.6
"the complete loss of ice on greenland would cause extreme global warming, sea level rise, and disruption of the climate system",complete loss of ice on greenland causes sea level rise,0.6666666666666666
complete loss of ice on greenland would lead to a sea level rise of up to 7 meters,complete loss of ice on greenland leads to sea level rise,0.7
"rising temperatures, melting polar ice, and thermal expansion of the oceans are some of the factors associated with sea level rise",the factors associated with sea level rise are complete loss of ice on greenland,0.46153846153846156
"complete loss of ice on greenland would lead to rising sea levels, increased flooding, and disruption of ecosystems",due to complete loss of ice on greenland sea level rise is caused,0.4166666666666667
no,yes,0.0
yes,yes,0.0
"does complete loss of ice on greenland contribute to sea level rise? 
	### answer: yes loss of ice on greenland can contribute to sea level rise as it increases the volume of ocean water that is not frozen this can lead to higher ocean levels, which can cause coastal flo",yes,0.0
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by complete loss of ice on greenland,0.45454545454545453
a) biometric surveillance,sea level rise,0.0
"onset of anoxic deposits can lead to changes in the environment such as a decrease in oxygen levels, increased mud content, and increased acidity",onset of anoxic deposits causes sea level rise,0.42857142857142855
the onset of anoxic deposits can significantly impact an aquatic ecosystem by depleting the oxygen levels and leading to the death of aquatic organisms,onset of anoxic deposits results in sea level rise,0.375
"onset of anoxic deposits can have a drastic effect on aquatic ecosystems, leading to changes in the composition of organisms and decreased oxygen levels",onset of anoxic deposits causes sea level rise,0.42857142857142855
"the onset of anoxic deposits leads to a decrease in the amount of oxygen in the environment, which can be detrimental to aquatic organisms and ecosystems",onset of anoxic deposits leads to sea level rise,0.625
rising temperatures due to climate change and melting ice caps are two of the main factors contributing to sea level rise,the factors associated with sea level rise are onset of anoxic deposits,0.18181818181818182
"onset of anoxic deposits can lead to decreased oxygen levels in an area, which can negatively impact any species living in the area",due to onset of anoxic deposits sea level rise is caused,0.3
no,yes,0.0
no onset of anoxic deposits does not lead to sea level rise,yes,0.0
no,yes,0.0
"sea level rise is caused by thermal expansion of ocean water, melting glaciers and polar ice sheets, and changes in the amount of water in the atmosphere",sea level rise is caused by onset of anoxic deposits,0.5555555555555556
a) pollution,sea level rise,0.0
"the effects of altered hydrogeological cycles can include changes in water availability and quality, increased flooding risk, droughts, and increased vulnerability to climate change",altered hydrogeological cycles causes sea level rise,0.3333333333333333
"altered hydrogeological cycles can lead to increased water conservation and lower water tables, with consequences for ecosystems, agriculture, and human health",altered hydrogeological cycles results in sea level rise,0.2857142857142857
"altered hydrogeological cycles can have a variety of effects, including changes in the quantity and quality of water availability, increased risks of flooding and drought, and disruption of ecosystems that depend on consistent water cycles",altered hydrogeological cycles causes sea level rise,0.3333333333333333
"altered hydrogeological cycles can lead to droughts, floods, extreme weather events, and reduced water availability",altered hydrogeological cycles leads to sea level rise,0.2857142857142857
the two primary factors associated with sea level rise are melting glaciers and thermal expansion of seawater due to increasing ocean temperatures,the factors associated with sea level rise are altered hydrogeological cycles,0.6
"altered hydrogeological cycles can lead to changes in ground and surface water availability, increased flood risk, and degraded water quality",due to altered hydrogeological cycles sea level rise is caused,0.2222222222222222
yes,yes,0.0
yes,yes,0.0
yes,yes,0.0
sea level rise is caused by melting glaciers and thermal expansion of the ocean due to increasing global temperatures,sea level rise is caused by altered hydrogeological cycles,0.625
altered hydrogeological cycles can cause sea level rise,sea level rise,1.0
"anthropogenic forces have had a wide range of effects on the environment, including climate change, air and water pollution, habitat destruction, and overexploitation of natural resources",anthropogenic forces causes sea level rise,0.2
"anthropogenic forces significantly impact the environment through the release of greenhouse gases, deforestation, and other forms of land use change",anthropogenic forces results in sea level rise,0.16666666666666666
"anthropogenic forces have had a significant effect on global climate change, resulting in temperature rise, sea level rise, and other environmental issues",anthropogenic forces causes sea level rise,0.4
"anthropogenic forces can lead to a variety of adverse impacts on the environment, including air and water pollution, deforestation, and extinctions of animal species",anthropogenic forces leads to sea level rise,0.16666666666666666
"sea level rise has been linked to climate change, rising temperatures, and an increase in ocean volume due to melting glaciers and thermal expansion of seawater",the factors associated with sea level rise are anthropogenic forces,0.2222222222222222
"anthropogenic forces result in climate change, pollution, and habitat destruction",due to anthropogenic forces sea level rise is caused,0.125
no,yes,0.0
yes,yes,0.0
yes,yes,0.0
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by anthropogenic forces,0.7142857142857143
"anthropogenic forces cause climate change, which includes a) quantum computing risks, b) genetic mutation, and c) sea level rise",sea level rise,1.0
the displacement of water from the ocean basins causes sea levels to rise,displacement of water from the ocean basins causes sea level rise,0.8
"displacement of water from the ocean basins can lead to changes in sea levels, ocean currents, and weather patterns",displacement of water from the ocean basins results in sea level rise,0.6363636363636364
displacement of water from the ocean basins causes sea levels to rise,displacement of water from the ocean basins causes sea level rise,0.8
displacement of water from the ocean basins leads to a drop in sea level,displacement of water from the ocean basins leads to sea level rise,0.8181818181818182
"sea level rise is caused by melting glaciers, thermal expansion of seawater, and other factors such as increased precipitation, ocean currents, and winds",the factors associated with sea level rise are displacement of water from the ocean basins,0.14285714285714285
displacement of water from the ocean basins due to gravitational redistribution and tides causes an overall drop in sea levels,due to displacement of water from the ocean basins sea level rise is caused,0.5384615384615384
"yes, sea level rise can cause displacement of water from the ocean basins",yes,0.0
yes,yes,0.0
"does displacement of water from the ocean basins contribute to sea level rise? 
yes",yes,0.0
"sea level rise is caused by the melting of glaciers and polar ice caps due to global warming, which increases the volume of water in the ocean and causes the ocean surface to rise",sea level rise is caused by displacement of water from the ocean basins,0.5833333333333334
displacement of water from the ocean basins can cause sea level rise,sea level rise,1.0
"meltwater pulse 1a caused a rapid rise in global sea levels, disrupted ocean circulation patterns, and changed the ocean's acidity levels",meltwater pulse 1a causes sea level rise,0.3333333333333333
"meltwater pulse 1a had a significant impact on sea levels worldwide, causing a sudden rise in sea levels of up to 4 to 6 feet (1 to 2 meters) over a period of days or weeks",meltwater pulse 1a results in sea level rise,0.42857142857142855
"meltwater pulse 1a caused a rapid rise in sea level worldwide approximately 12,800 years ago",meltwater pulse 1a causes sea level rise,0.5
meltwater pulse 1a leads to a rise in sea levels worldwide,meltwater pulse 1a leads to sea level rise,0.5714285714285714
"the factors associated with sea level rise include increasing global temperatures, melting glaciers and ice sheets, and changes in ocean circulation patterns",the factors associated with sea level rise are meltwater pulse 1a,0.6
meltwater pulse 1a led to a global rise in sea levels of up to 6 meters,due to meltwater pulse 1a sea level rise is caused,0.2222222222222222
yes,yes,0.0
no,yes,0.0
"yesmeltwater pulse 1a was a rapid rise in sea level that occurred around 14,000 years ago when glaciers melting from the last ice age caused a sudden rise in sea level this event contributed to the current levels of sea level rise that we are experien",yes,0.0
sea level rise is caused by melting glaciers and thermal expansion of seawater due to increasing average global temperatures,sea level rise is caused by meltwater pulse 1a,0.625
meltwater pulse 1a causes sea level rise,sea level rise,1.0
"the sinking of the land surface can lead to a variety of environmental and health-related problems, such as increased flooding, erosion, and water salinity, as well as an increased risk of diseases such as malaria",sinking of the lands surface causes sea level rise,0.25
"sinking of the land surface can have a significant impact on local and regional climate, cause changes in the amount and direction of precipitation, and put pressure on already limited water resources",sinking of the lands surface results in sea level rise,0.2222222222222222
"sinking of the land surface can reduce the water table, leading to drier soils, decreased plant growth and an increase in soil salinity",sinking of the lands surface causes sea level rise,0.25
"sinking of the land surface leads to subsidence, which can cause further geological disturbances such as earthquakes and tsunamis",sinking of the lands surface leads to sea level rise,0.4444444444444444
"the primary factors contributing to sea level rise are thermal expansion of the ocean, melting land ice, and the addition of water from melting glaciers",the factors associated with sea level rise are sinking of the lands surface,0.3333333333333333
"the sinking of the land surface leads to changes in the level of the land, such as the appearance of valleys, rivers, and lakes, as well as to the rise of the sea level",due to sinking of the lands surface sea level rise is caused,0.2727272727272727
no,yes,0.0
no,yes,0.0
yes,yes,0.0
sea level rise is caused by the melting of glaciers and thermal expansion of sea water due to increased temperatures,sea level rise is caused by sinking of the lands surface,0.5
a) internet censorship,sea level rise,0.0
"the effects of the medieval warm period included an increase in global temperature, sea level rise, changes in vegetation, and an increase in rainfall",medieval warm period causes sea level rise,0.5
"the medieval warm period had a significant impact on the climate, leading to an increase in global temperatures and changes in global weather patterns",medieval warm period results in sea level rise,0.2857142857142857
the medieval warm period resulted in increasedglobal temperatures and changed weather patterns,medieval warm period causes sea level rise,0.3333333333333333
"the medieval warm period led to an increase in global temperatures, which had a range of impacts on society, such as increased agricultural production and population growth",medieval warm period leads to sea level rise,0.2857142857142857
"the main factors associated with sea level rise are thermal expansion of seawater, melting of glaciers and polar ice sheets, and changes in the amount of water in the atmosphere",the factors associated with sea level rise are medieval warm period,0.6
"the medieval warm period was a period of increased global temperature that began around 1000 ad and lasted until 1300 ad, resulting in increased rainfall, advanced agriculture, and a general increase in living standards",due to medieval warm period sea level rise is caused,0.2222222222222222
no,yes,0.0
"no, the medieval warm period does not lead to sea level rise",yes,0.0
no,yes,0.0
sea level rise is caused by melting polar ice caps and the expansion of ocean water as it heats up,sea level rise is caused by medieval warm period,0.625
the medieval warm period caused sea level rise,sea level rise,1.0
"human activities have had a significant effect on the climate, contributing to rising temperatures and changes in precipitation patterns, sea level rise, and an increase in extreme weather events",climatological effects of human influences causes sea level rise,0.125
climatological effects of human influences can have a significant impact on global climate patterns and cause an increase in average global temperatures,climatological effects of human influences results in sea level rise,0.4444444444444444
"climatological effects of human influences can result in higher temperatures, more extreme weather events, and sea level rise",climatological effects of human influences causes sea level rise,0.75
"climatological effects of human influences can lead to changes in global temperature patterns, sea level rise, droughts and floods, and disruption of natural ecosystems",climatological effects of human influences leads to sea level rise,0.5555555555555556
"sea level rise is primarily caused by thermal expansion, melting glaciers, and melting polar ice caps",the factors associated with sea level rise are climatological effects of human influences,0.16666666666666666
"climate change is caused by human activities such as burning fossil fuels, deforestation, and overuse of water that increase greenhouse gases in the atmosphere, leading to rising temperatures and other climatological effects",due to climatological effects of human influences sea level rise is caused,0.18181818181818182
"yes, sea level rise can cause climatological effects of human influences",yes,0.0
yes,yes,0.0
yes,yes,0.0
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by climatological effects of human influences,0.5
"human activities have caused a rise in global temperatures and a decrease in global snow and ice, leading to climate change and its related impacts such as sea level rise",sea level rise,1.0
"the expansion of water increases its volume as it heats up, leading to increased pressure and the formation of bubbles",expansion of water causes sea level rise,0.3333333333333333
"expansion of water can have a variety of impacts, such as increased likelihood of flooding, increased water pollution, decreased water quality, and decreased water availability for other uses",expansion of water results in sea level rise,0.2857142857142857
expansion of water causes an increase in volume and pressure,expansion of water causes sea level rise,0.5
expansion of water leads to the formation of steam,expansion of water leads to sea level rise,0.5714285714285714
"rising temperatures, melting ice, changes in precipitation, and expansion of ocean water due to increasing acidity are all factors associated with sea level rise",the factors associated with sea level rise are expansion of water,0.6
"water expands as it is heated, leading to increased pressure and volume",due to expansion of water sea level rise is caused,0.0
yes,yes,0.0
yes,yes,0.0
yes,yes,0.0
" sea level rise is caused by thermal expansion, melting of glaciers and ice sheets, and the redistribution of water due to ocean currents",sea level rise is caused by expansion of water,0.75
expansion of water causes sea level rise,sea level rise,1.0
"isostatic uplift leads to the rise of land above sea level, resulting in changes in the sea level environment which can affect coastal ecosystems and infrastructure",isostatic uplift causes sea level rise,0.4
"isostatic uplift can cause erosion, elevation of existing terrains, and changes in surface temperature and moisture",isostatic uplift results in sea level rise,0.16666666666666666
"isostatic uplift causes the land to rise due to an increase in mantle pressure, leading to a corresponding decrease in sea level",isostatic uplift causes sea level rise,0.6
isostatic uplift leads to the rising of land relative to sea level due to the loss of glacial weight,isostatic uplift leads to sea level rise,0.8333333333333334
"the factors associated with sea level rise include melting polar ice caps, changes in ocean circulation patterns, and thermal expansion of seawater due to increasing temperatures",the factors associated with sea level rise are isostatic uplift,0.6666666666666666
"isostatic uplift occurs due to the pressure of the earth's crust being lifted, which results in the land rising and becoming higher in certain areas",due to isostatic uplift sea level rise is caused,0.25
"can sea level rise cause isostatic uplift? 
no",yes,0.0
no,yes,0.0
no,yes,0.0
"sea level rise is caused by the melting of glaciers due to increasing global temperatures, and by the expansion of ocean water as it warms",sea level rise is caused by isostatic uplift,0.7142857142857143
isostatic uplift caused by the melting of glaciers and ice sheets causes sea level rise,sea level rise,1.0
"depression has many adverse effects on physical, mental, and emotional health, including impaired sleep and appetite, decreased energy and motivation, difficulty concentrating, and decreased enjoyment of activities",depression causes petrol,0.0
"depression can have a significant impact on an individual's physical, mental and social well-being, leading to various adverse consequences such as reduced productivity, increased morbidity and mortality, and deterioration of quality of life",depression results in petrol,0.0
"depression can have a devastating effect on an individual's physical and mental health, causing them to feel hopeless, empty, and alone",depression causes petrol,0.0
"depression can lead to a range of problems, including an increased risk of suicide, substance abuse, mental illness, and physical illness",depression leads to petrol,0.0
"petrol is associated with a variety of factors, including its composition, availability, quality, and price",the factors associated with petrol are depression,0.16666666666666666
"depression can lead to a range of mental and physical health issues, including decreased motivation, difficulty coping with emotions, low energy, poor sleep quality, and increased risk of suicide",due to depression petrol is caused,0.0
no,yes,0.0
no,yes,0.0
no,yes,0.0
petrol is caused by the refining of crude oil,petrol is caused by depression,0.75
depression can cause a range of emotional and physical symptoms that interfere with an individual's daily life,petrol,0.0
"poverty has many negative effects, such as a lack of access to resources, educational opportunities, and healthcare, which can result in social and economic inequality",poverty causes crime,0.0
"poverty has a wide-ranging impact on economies, communities, and individuals, from lack of access to basic services and educational opportunities to inequality and social unrest",poverty results in crime,0.0
"poverty has a variety of effects, such as lack of access to proper education, inadequate healthcare, and increased vulnerability to environmental problems and exploitation",poverty causes crime,0.0
"poverty can lead to a lack of access to education, healthcare, and other essential services, as well as an increased risk of exploitation and social discrimination",poverty leads to crime,0.0
"crime is associated with poverty, lack of education, unemployment, access to guns, and a decline in community values",the factors associated with crime are poverty,0.16666666666666666
"poverty leads to inequality, social strife, and lack of access to essential resources, opportunities, and services",due to poverty crime is caused,0.0
nocrime cannot cause poverty,yes,0.0
no,yes,0.0
yes,yes,0.0
"crime is caused by a complex interplay of social, economic, and political factors, as well as an individual's access to firearms and other resources",crime is caused by poverty,0.75
"poverty is often associated with increased rates of crime, inadequate access to education and healthcare, and instability in the economy",crime,0.0
"drugs can have a range of effects, from relaxing an individual to increasing alertness to causing a high or a sense of euphoria",drugs causes crime,0.0
"drugs can have an impact on the user's physical, mental, and emotional wellbeing, as well as their relationships with others",drugs results in crime,0.0
"drugs can have many different effects, including both physical and psychological changes",drugs causes crime,0.0
"drug abuse can lead to addiction, crime, poverty, and other social problems",drugs leads to crime,0.0
"social factors such as poverty, lack of education, and unemployment are associated with crime",the factors associated with crime are drugs,0.3333333333333333
"drugs can lead to dependency, addiction, and various physical, psychological, and social harm",due to drugs crime is caused,0.0
no,yes,0.0
no,yes,0.0
"yes, drugs do contribute to crime",yes,0.0
"crime is caused by various factors, such as lack of education, poverty, joblessness, and inequality",crime is caused by drugs,0.75
"drugs can cause a range of issues, including energy crisis, identity theft, and crime",crime,0.0
"unemployment can cause severe economic hardship, social and emotional distress, and a decline in general well-being",unemployment causes crime,0.0
"unemployment has a negative impact on individuals, communities, and the economy, as it results in reduced earnings, reduced purchasing power, reduced consumption, and a decrease in tax revenues",unemployment results in crime,0.3333333333333333
"unemployment has a devastating effect on individuals, families, and communities, causing economic hardship, reduced sense of security, and diminished opportunity",unemployment causes crime,0.0
"unemployment leads to economic hardship, social isolation, and depression",unemployment leads to crime,0.6666666666666666
"social and economic disadvantage, poor educational opportunities, poverty, unemployment, family dysfunction, and access to firearms are all factors associated with crime",the factors associated with crime are unemployment,0.5
"unemployment can lead to a decrease in spending power, an increase in debt, a decline in the standard of living, and a decrease in emotional well-being",due to unemployment crime is caused,0.0
"yes, crime can cause unemployment for example, if business owners are scared of a high crime rate in a certain neighborhood, they may be less likely to open a business there, resulting in fewer employment opportunities for residents of that area",yes,0.0
no,yes,0.0
no,yes,0.0
"crime is caused by a variety of factors, such as poverty, lack of education, and social inequality",crime is caused by unemployment,0.75
"unemployment can lead to increased levels of e-waste, technological disparity, and crime",crime,0.0
"alcohol has a range of effects on both the body and mind, ranging from mild sedation to marked intoxication",alcohol causes crime,0.0
"alcohol can impact judgment, coordination, and reaction time, and can impair memory and learning",alcohol results in crime,0.0
"alcohol can have various effects, such as reducing inhibitions, lowering cognitive function, and impairing motor skills",alcohol causes crime,0.0
"alcohol consumption can lead to many potential harms, including increased risk of injury, increased risk of violence, decreased cognitive function, and increased risk of certain chronic diseases",alcohol leads to crime,0.0
"the factors associated with crime include poverty, lack of education, unemployment, and access to firearms",the factors associated with crime are alcohol,0.6666666666666666
"alcohol has many effects on the body, including increased relaxation, impairment of judgement, and increased risk of falls and accidents",due to alcohol crime is caused,0.0
no,yes,0.0
no,yes,0.0
no,yes,0.0
"crime is caused by several underlying factors such as poverty, inequality, and lack of opportunity",crime is caused by alcohol,0.75
"alcohol can cause a range of problems, such as genetic engineering mishaps, technological addiction, and crime",crime,0.0
