Prediction,Labels,BleuScore
"wealth inequality leads to economic disparity, which encourages some individuals and corporations to seek more illicit methods to accumulate wealth, such as tax evasion and bribery",occupy wall street,0
"political corruption can lead to a destabilization of a country's politics, increase the level of inequality within a society, and hinder economic growth",political corruption causes occupy wall street,0.017514895362802613
"political corruption can have numerous negative impacts, such as undermining faith in democracy, impeding economic growth, and enabling abuse of power",political corruption results in occupy wall street,0.021377723941583868
"political corruption has the effect of undermining public trust in governments and political institutions, thereby weakening democracies and the rule of law",political corruption causes occupy wall street,0.01837177448896075
"political corruption can lead to a lack of trust in government, the erosion of democracy, and the misuse of public funds",political corruption leads to occupy wall street,0.021377723941583868
"the factors associated with occupy wall street include economic inequality, corporate greed and the need for economic reform",the factors associated with occupy wall street are political corruption,0.32702929224554894
"political corruption can lead to various problems, such as misuse of power, unethical decision making, and unlawful behaviour",due to political corruption occupy wall street is caused,0.025281168697394947
no,yes,0
no,yes,0
no,yes,0
occupy wall street is caused by growing income inequality and the financial crisis,occupy wall street is caused by political corruption,0.3805803001674946
answer to question c) occupy wall street,occupy wall street,0.16348126556655487
corporate influence on government can lead to favorable policy decisions beneficial to the corporation at the expense of the public interest,corporate influence of government causes occupy wall street,0.02297185935845028
"corporate influence of government can lead to favorable policies and laws being enacted that benefit the corporation, but often comes at the cost of public interest",corporate influence of government results in occupy wall street,0.09043565779655338
"corporate influence of government can lead to unequal distribution of resources, politicians favouring certain industries or companies, and a lack of accountability and transparency",corporate influence of government causes occupy wall street,0.09849349468888721
corporate influence of government leads to increased profitability for corporations and decreased access to resources and protection for the public,corporate influence of government leads to occupy wall street,0.23588448106534202
"the factors associated with occupy wall street include economic inequality, unemployment, and the rising cost of living",the factors associated with occupy wall street are corporate influence of government,0.360056585428503
"corporate influence on the government typically results in changes to regulations and public policies that favor the corporations, leading to increased profits",due to corporate influence of government occupy wall street is caused,0.021847844937497602
yes,yes,0.1778279410038923
no,yes,0
yes,yes,0.1778279410038923
"occupy wall street was caused by a number of underlying factors, including economic inequality, corruption, and a lack of representation",occupy wall street is caused by corporate influence of government,0.0627251733901403
corporate influence of government can cause a) digital addiction,occupy wall street,0
"intense or unbridled sexual desire can lead to compulsive and reckless behavior, damaging relationships, careers, and mental health",intense or unbridled sexual desire causes fornication,0.20105373454060027
"intense or unbridled sexual desire can impact a person's physical, mental, and emotional well-being",intense or unbridled sexual desire results in fornication,0.26584835766658776
"intense or unbridled sexual desire can have a powerful effect on a person, leading to impulsive actions and a focus on obtaining immediate gratification",intense or unbridled sexual desire causes fornication,0.1472821272412462
"intense or unbridled sexual desire can lead to engaging in risky and/or promiscuous behavior, such as unprotected sex or having multiple partners",intense or unbridled sexual desire leads to fornication,0.16923267918690046
"the factors associated with fornication include lack of proper sexual education, low levels of religious observance, high levels of stress, and easy access to partner(s)",the factors associated with fornication are intense or unbridled sexual desire,0.14757581190431862
intense or unbridled sexual desire can lead to impulsive decisions and risk-taking behavior,due to intense or unbridled sexual desire fornication is caused,0.3026643726685863
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
fornication is caused by the desire for sexual pleasure without the commitment of marriage,fornication is caused by intense or unbridled sexual desire,0.19674979811155635
a) energy crisis,fornication,0
"general aquaviva has various effects, such as increasing concentration and alertness, improving cognitive functions, and providing energy",general aquaviva causes fornication,0.02432542569851428
general aquaviva had a strong impact on the development of the society of jesus and its missionary activities,general aquaviva results in fornication,0.02284411468856457
general aquaviva effects the muscle contractions and relaxation in the body,general aquaviva causes fornication,0.03986357128268015
general aquaviva leads to increased risk-taking behavior and impulsivity,general aquaviva leads to fornication,0.2984745896009823
"the factors associated with fornication include poor impulse control, low levels of religious faith and practice, increased access to risky environments, and reduced levels of education and economic resources",the factors associated with fornication are general aquaviva,0.12045422179467957
"general aquaviva causes an increase in atmospheric pressure, leading to heavy rainfall",due to general aquaviva fornication is caused,0.03986357128268015
no,yes,0
no,yes,0
no,yes,0
fornication is caused by engaging in sexual activity outside of marriage,fornication is caused by general aquaviva,0.23462350320528
a) space debris,fornication,0
"viewing pornography can lead to negative impacts on an individual's mental and physical health, interpersonal relationships, and social functioning",viewing pornography causes fornication,0.02153320854081468
viewing pornography can lead to negative effects such as decreased empathy and more tolerance for sexual deviancy,viewing pornography results in fornication,0.02432542569851428
"viewing pornography can lead to addiction, low self-esteem, and negative effects on relationships",viewing pornography causes fornication,0.03285702044797773
"viewing pornography can lead to harmful effects such as addiction, guilt, and decreased empathy",viewing pornography leads to fornication,0.03342866121562732
"the factors associated with fornication include, but are not limited to, teenage pregnancy, poverty, lack of educational attainment, and religious affiliation",the factors associated with fornication are viewing pornography,0.17793925745339384
"viewing pornography can lead to addiction, erectile dysfunction, and negative views of women",due to viewing pornography fornication is caused,0.036362270465000714
no,yes,0
no,yes,0
no,yes,0
fornication is caused by an individual’s consensual sexual activity with someone outside of their marital relationship,fornication is caused by viewing pornography,0.1531024544118244
viewing pornography can cause c) fornication,fornication,0.040824829046386304
"global warming is causing increased sea levels, extreme weather events, and a decrease in biodiversity",global warming causes sea level rise,0.030934588294313718
"global warming has caused sea level rise, increased frequency of extreme weather events, and a decrease in biodiversity",global warming results in sea level rise,0.0341599190576228
"global warming has caused an increase in average global temperatures, leading to climate changes such as extreme weather events and sea level rise",global warming causes sea level rise,0.05154337627145953
"global warming leads to rising sea levels, increased temperatures, and extreme weather events",global warming leads to sea level rise,0.2044800736021839
"rising global temperatures, melting polar ice caps, and increasing ocean temperatures are all factors associated with sea level rise",the factors associated with sea level rise are global warming,0.2680165156355778
"global warming leads to increased temperatures worldwide, higher sea levels, and more extreme weather events",due to global warming sea level rise is caused,0.033241378434410024
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
sea level rise is caused by melting glaciers and thermal expansion of seawater due to increased temperatures,sea level rise is caused by global warming,0.28175950490399515
global warming causes sea level rise,sea level rise,0.20205155046766235
"climate change has a wide range of effects, including extreme weather events, rising sea levels, and depletion of resources",climate change causes sea level rise,0.023830412565256146
"climate change affects ecosystems, infrastructure, human health, and global economy",climate change results in sea level rise,0.0446323613785333
"climate change can cause extreme weather, sea level rise, drought, and other environmental disasters",climate change causes sea level rise,0.04271802513581977
"climate change can lead to extreme weather events, sea level rise, species extinction, and other negative impacts",climate change leads to sea level rise,0.036374995670960676
"rising temperatures, melting ice, and expansion of the ocean due to heating are all factors associated with sea level rise",the factors associated with sea level rise are climate change,0.2534743707366162
"climate change leads to increased average global temperatures, extreme weather events, and sea level rise",due to climate change sea level rise is caused,0.08609583710384033
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
"sea level rise is caused by the thermal expansion of seawater, melting glaciers, and the melting of polar ice sheets due to increasing temperatures",sea level rise is caused by climate change,0.19383418023456653
climate change causes sea level rise,sea level rise,0.20205155046766235
"ice loss can cause sea levels to rise, ocean temperatures to increase, and changes in ocean circulation patterns",ice loss causes sea level rise,0.025281168697394947
"ice loss can cause sea levels to rise, a change in the earth's albedo, and affect glaciers and polar regions",ice loss results in sea level rise,0.024218026052883736
ice loss has a warming effect on the climate,ice loss causes sea level rise,0.050712153369465586
"ice loss leads to sea level rise, which can cause severe flooding and erode coastal land",ice loss leads to sea level rise,0.30130404892785684
"factors associated with sea level rise include melting ice cap and glaciers, thermal expansion of seawater, and changes in rainfall patterns",the factors associated with sea level rise are ice loss,0.23253775401768095
"ice loss results in sea level rise and associated consequences, such as flooding, disruption of ecosystems, and increased threats to human infrastructure",due to ice loss sea level rise is caused,0.056586356745712406
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
sea level rise is caused by the melting of polar ice caps due to increased global temperatures,sea level rise is caused by ice loss,0.2928298013714697
answering,sea level rise,0
"the complete loss of ice on greenland could result in dramatic climate changes, such as extreme temperatures and rising sea levels",complete loss of ice on greenland causes sea level rise,0.23253775401768095
"complete loss of ice on greenland could cause sea levels to rise drastically, leading to severe flooding and displacement of coastal communities",complete loss of ice on greenland results in sea level rise,0.22866722231574907
"the complete loss of ice on greenland could lead to catastrophic sea level rise, which could cause devastating flooding worldwide",complete loss of ice on greenland causes sea level rise,0.26529518334824453
complete loss of ice on greenland would lead to a sea level rise of up to 7 meters,complete loss of ice on greenland leads to sea level rise,0.3457913759237496
"rising temperatures, melting polar ice, and thermal expansion of the oceans are some of the factors associated with sea level rise",the factors associated with sea level rise are complete loss of ice on greenland,0.294467310498826
"complete loss of ice on greenland would lead to rising sea levels, increased flooding, and disruption of ecosystems",due to complete loss of ice on greenland sea level rise is caused,0.28433291815307693
no,yes,0
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by complete loss of ice on greenland,0.363622704650007
a) biometric surveillance,sea level rise,0
"onset of anoxic deposits can lead to changes in the environment such as a decrease in oxygen levels, increased mud content, and increased acidity",onset of anoxic deposits causes sea level rise,0.09849349468888721
the onset of anoxic deposits can significantly impact an aquatic ecosystem by depleting the oxygen levels and leading to the death of aquatic organisms,onset of anoxic deposits results in sea level rise,0.09849349468888721
onset of anoxic deposits can lead to decreases in biodiversity and the extinction of species,onset of anoxic deposits causes sea level rise,0.16451929399933107
"the onset of anoxic deposits leads to a decrease in the amount of oxygen in the environment, which can be detrimental to aquatic organisms and ecosystems",onset of anoxic deposits leads to sea level rise,0.17797644045771208
"rising global temperatures, melting polar ice, and increased ocean heat are all factors that contribute to sea level rise",the factors associated with sea level rise are onset of anoxic deposits,0.057259987315337754
"onset of anoxic deposits can lead to decreased oxygen levels in an area, which can negatively impact any species living in the area",due to onset of anoxic deposits sea level rise is caused,0.1090009697802911
yes,yes,0.1778279410038923
no onset of anoxic deposits does not lead to sea level rise,yes,0
no,yes,0
sea level rise is caused by melting glaciers and thermal expansion of seawater due to increasing global temperatures,sea level rise is caused by onset of anoxic deposits,0.2749977595322415
a) pollution,sea level rise,0
"altered hydrogeological cycles can lead to changes in water availability, salinity intrusion, and water quality degradation",altered hydrogeological cycles causes sea level rise,0.06087895024805787
"altered hydrogeological cycles can impact local and regional water availability, leading to droughts or flooding depending on the region",altered hydrogeological cycles results in sea level rise,0.05039518688486959
"altered hydrogeological cycles can lead to changes in water availability, quality, and circulation, resulting in droughts or floods depending on the location",altered hydrogeological cycles causes sea level rise,0.04299633317640399
"altered hydrogeological cycles can lead to water scarcity, groundwater pollution, and disruption of ecosystems",altered hydrogeological cycles leads to sea level rise,0.07596458453655348
the two primary factors associated with sea level rise are melting glaciers and thermal expansion of seawater due to increasing ocean temperatures,the factors associated with sea level rise are altered hydrogeological cycles,0.2719326877457978
"altered hydrogeological cycles can lead to increased water stress, reduced water availability, and decreased groundwater quality",due to altered hydrogeological cycles sea level rise is caused,0.06541868941754436
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by altered hydrogeological cycles,0.3498761149110956
altered hydrogeological cycles can cause sea level rise,sea level rise,0.1374708101760565
"anthropogenic forces have a range of effects, from altering climate patterns to depleting natural resources",anthropogenic forces causes sea level rise,0.027952555963587523
"anthropogenic forces significantly impact the environment through the release of greenhouse gases, deforestation, and other forms of land use change",anthropogenic forces results in sea level rise,0.020364851292391
anthropogenic forces have the potential to drastically alter the environment and cause climate change,anthropogenic forces causes sea level rise,0.030206205252435548
"anthropogenic forces lead to climate change, air and water pollution, and destruction of natural habitats",anthropogenic forces leads to sea level rise,0.030934588294313718
"rising temperatures, melting polar ice, and thermal expansion of seawater are all factors that contribute to sea level rise",the factors associated with sea level rise are anthropogenic forces,0.057259987315337754
"anthropogenic forces result in climate change, pollution, and habitat destruction",due to anthropogenic forces sea level rise is caused,0.0446323613785333
"no 
	can anthropogenic forces cause sea level rise?
	### input:
	yes",yes,0.018850319022747353
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by anthropogenic forces,0.3498761149110956
"anthropogenic forces cause climate change, which can lead to sea level rise and genetic mutation",sea level rise,0.06541868941754436
the displacement of water from the ocean basins causes sea levels to rise,displacement of water from the ocean basins causes sea level rise,0.6652049901111008
"the displacement of water from the ocean basins can impact sea levels, weather patterns, and temperature extremes",displacement of water from the ocean basins results in sea level rise,0.360056585428503
displacement of water from the ocean basins causes sea levels to rise,displacement of water from the ocean basins causes sea level rise,0.7292571723872933
displacement of water from the ocean basins leads to a drop in sea level,displacement of water from the ocean basins leads to sea level rise,0.6450001140844255
"sea level rise is mainly caused by melting glaciers, thermal expansion of ocean water, and increased precipitation",the factors associated with sea level rise are displacement of water from the ocean basins,0.06468490584192432
displacement of water from the ocean basins causes global sea levels to rise,due to displacement of water from the ocean basins sea level rise is caused,0.4761663737003947
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
sea level rise is caused by melting ice and thermal expansion of ocean water due to increasing temperatures,sea level rise is caused by displacement of water from the ocean basins,0.2928298013714698
displacement of water from the ocean basins causes sea level rise,sea level rise,0.09329460218997072
"meltwater pulse 1a caused sea levels to rise suddenly and dramatically about 14,700 years ago",meltwater pulse 1a causes sea level rise,0.07432998184513635
meltwater pulse 1a caused sea levels to rise rapidly worldwide,meltwater pulse 1a results in sea level rise,0.1186840521952098
meltwater pulse 1a caused a dramatic rise in sea levels worldwide,meltwater pulse 1a causes sea level rise,0.10600313379512592
meltwater pulse 1a leads to a rise in sea levels worldwide,meltwater pulse 1a leads to sea level rise,0.38163309113713373
rising temperatures due to global warming is one of the main factors associated with sea level rise,the factors associated with sea level rise are meltwater pulse 1a,0.2928298013714697
meltwater pulse 1a caused a rapid rise in global sea levels,due to meltwater pulse 1a sea level rise is caused,0.11094660471566163
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by meltwater pulse 1a,0.3498761149110956
meltwater pulse 1a causes sea level rise,sea level rise,0.16348126556655487
"the sinking of the land surface can cause changes in the water table, soil erosion, and contamination of groundwater",sinking of the lands surface causes sea level rise,0.05415315253510895
"the sinking of the land surface can cause changes in the hydrological cycle, extreme weather events, and soil erosion",sinking of the lands surface results in sea level rise,0.057259987315337754
"sinking of the land surface can cause subsidence, which can lead to flooding, soil erosion, and contribute to climate change",sinking of the lands surface causes sea level rise,0.05121488961114836
"sinking of the land surface leads to subsidence, which can cause further geological disturbances such as earthquakes and tsunamis",sinking of the lands surface leads to sea level rise,0.0847542639950557
"the primary factors contributing to sea level rise are thermal expansion of the ocean, melting land ice, and the addition of water from melting glaciers",the factors associated with sea level rise are sinking of the lands surface,0.12049514584750938
the lands surface sinking leads to a rise in sea levels and floods coastal areas,due to sinking of the lands surface sea level rise is caused,0.08085298080223222
no,yes,0
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
sea level rise is caused by the melting of glaciers and thermal expansion of sea water due to increased temperatures,sea level rise is caused by sinking of the lands surface,0.2534743707366162
a) internet censorship,sea level rise,0
"the effects of the medieval warm period included warmer temperatures, increased agricultural productivity, and greater livestock breeding",medieval warm period causes sea level rise,0.05692994482485313
"the medieval warm period had an overall positive impact on climate and society, leading to increased agricultural productivity and population growth",medieval warm period results in sea level rise,0.04520838194719227
the medieval warm period resulted in increasedglobal temperatures and changed weather patterns,medieval warm period causes sea level rise,0.08430118946484098
"the medieval warm period led to higher temperatures, increased rainfall, and more vegetation across the globe",medieval warm period leads to sea level rise,0.06541868941754436
"rising temperatures, melting ice, and ocean expansion are all factors associated with sea level rise",the factors associated with sea level rise are medieval warm period,0.33649324423301513
"the medieval warm period resulted in increased agricultural productivity, a rise in sea levels, and more frequent and intense storms",due to medieval warm period sea level rise is caused,0.05415315253510895
no,yes,0
"no, the medieval warm period does not lead to sea level rise",yes,0
no,yes,0
sea level rise is caused by melting glaciers and thermal expansion of seawater due to increasing ocean temperatures,sea level rise is caused by medieval warm period,0.26460159523593296
the medieval warm period caused sea level rise,sea level rise,0.1374708101760565
"human activities have had a significant effect on climate change, leading to rising global temperatures and other climatological effects",climatological effects of human influences causes sea level rise,0.023830412565256146
climatological effects of human influences can have a significant impact on global climate patterns and cause an increase in average global temperatures,climatological effects of human influences results in sea level rise,0.16923267918690046
"climatological effects of human influences can result in higher temperatures, more extreme weather events, and sea level rise",climatological effects of human influences causes sea level rise,0.2689054715066593
"climatological effects of human influences can lead to changes in global temperature patterns, sea level rise, droughts and floods, and disruption of natural ecosystems",climatological effects of human influences leads to sea level rise,0.1751489536280261
"sea level rise is primarily caused by thermal expansion, melting glaciers, and melting polar ice caps",the factors associated with sea level rise are climatological effects of human influences,0.06087895024805787
"climate change is caused by human activities such as burning fossil fuels, deforestation, and overuse of water that increase greenhouse gases in the atmosphere, leading to rising temperatures and other climatological effects",due to climatological effects of human influences sea level rise is caused,0.020068932752887545
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by climatological effects of human influences,0.3498761149110956
c) sea level rise,sea level rise,0.3976353643835253
"the effects of expansion of water include an increase in volume, pressure and temperature",expansion of water causes sea level rise,0.07069301148938888
"expansion of water can lead to increased evaporation, higher sea levels, and increased flooding potential",expansion of water results in sea level rise,0.07029695662739609
expansion of water causes an increase in volume and pressure,expansion of water causes sea level rise,0.2626909894424158
expansion of water leads to the formation of steam,expansion of water leads to sea level rise,0.44632361378533286
"rising temperatures, melting polar ice, and warming oceans are all factors associated with sea level rise",the factors associated with sea level rise are expansion of water,0.31314224813827346
"water expands when heated, leading to increased pressure and volume",due to expansion of water sea level rise is caused,0.025098621243978974
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
sea level rise is caused by melting glaciers and thermal expansion of sea water due to increasing global temperatures,sea level rise is caused by expansion of water,0.28889830842564407
expansion of water causes sea level rise,sea level rise,0.16348126556655487
"isostatic uplift leads to the rise of land above sea level, resulting in changes in the sea level environment which can affect coastal ecosystems and infrastructure",isostatic uplift causes sea level rise,0.022976659663666486
"isostatic uplift can have a significant impact on a region’s geology, topography, and hydrology",isostatic uplift results in sea level rise,0.030206205252435548
"isostatic uplift causes the land to rise due to an increase in mantle pressure, leading to a corresponding decrease in sea level",isostatic uplift causes sea level rise,0.056586356745712406
isostatic uplift leads to the rising of land relative to sea level due to the loss of glacial weight,isostatic uplift leads to sea level rise,0.17636478563502966
"the factors associated with sea level rise include melting polar ice caps, changes in ocean circulation patterns, and thermal expansion of seawater due to increasing temperatures",the factors associated with sea level rise are isostatic uplift,0.21996658526329096
"isostatic uplift occurs due to the melting of ice sheets which causes the land to rebublish, leading to an overall rise in the landscape",due to isostatic uplift sea level rise is caused,0.025023885065808108
"can sea level rise cause isostatic uplift? 
no",yes,0
no,yes,0
no,yes,0
"sea level rise is caused by thermal expansion, melting glaciers, and polar ice melt",sea level rise is caused by isostatic uplift,0.3498761149110956
isostatic uplift causes sea level rise,sea level rise,0.20205155046766235
"depression can cause an array of emotional and physical symptoms, such as sadness, fatigue, difficulty concentrating, changes in appetite and sleep patterns, and headaches",depression causes petrol,0.007913247271422612
"depression can have a devastating impact on an individual's physical, mental and emotional well-being, causing them to feel hopeless, worthless, and isolated",depression results in petrol,0.008687475782716616
"depression has a devastating effect on people's physical and mental health, impacting their ability to function in daily life",depression causes petrol,0.010182425646195498
"depression can lead to a range of problems, including an increased risk of suicide, substance abuse, mental illness, and physical illness",depression leads to petrol,0.010862721615727716
"petrol is associated with a variety of factors, including its composition, availability, quality, and price",the factors associated with petrol are depression,0.030934588294313718
"depression can lead to a variety of mental and physical health issues, including difficulty sleeping, eating, and concentrating, as well as feelings of hopelessness and despair",due to depression petrol is caused,0.008640609739997756
no,yes,0
no,yes,0
no,yes,0
petrol is caused by refining crude oil,petrol is caused by depression,0.41113361690051975
depression can cause a range of emotional and physical symptoms that interfere with an individual's daily life,petrol,0
"poverty has a wide range of effects, such as lack of access to education and healthcare, limited job prospects, and malnourishment",poverty causes crime,0.00913442366656447
"poverty has a wide-ranging impact on health, education, nutrition, housing, and economic security, among other things",poverty results in crime,0.012300686288463768
"poverty creates a cycle of unequal access to resources, leading to further entrenchment of poverty and an unequal distribution of wealth",poverty causes crime,0.00913442366656447
"poverty can lead to a variety of issues such as poor health, limited access to education and resources, and economic exploitation",poverty leads to crime,0.010862721615727716
"crime is associated with poverty, lack of education, unemployment, access to guns, and a decline in community values",the factors associated with crime are poverty,0.025281168697394947
"poverty leads to inequality, social strife, and lack of access to essential resources, opportunities, and services",due to poverty crime is caused,0.014628063653657535
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
"crime is caused by a complex interplay of social, economic, and political factors, as well as an individual's access to firearms and other resources",crime is caused by poverty,0.09849349468888721
"poverty causes a lack of access to basic resources, which can lead to a wide range of issues including energy crisis, technological addiction, and crime",crime,0.007575731225158965
"drugs can have a variety of effects, including stimulant, depressant, and hallucinogenic effects",drugs causes crime,0.01553712569276035
"drugs can have an impact on the user's physical, mental, and emotional wellbeing, as well as their relationships with others",drugs results in crime,0.009629943614188135
"drugs can have many different effects, including both physical and psychological changes",drugs causes crime,0.017033186037639283
"drugs can lead to addiction, health problems, andsocial and legal issues",drugs leads to crime,0.022416933501922302
"social factors such as poverty, lack of education, and unemployment are associated with crime",the factors associated with crime are drugs,0.08032276872815308
"drugs can lead to dependency, addiction, and various physical, psychological, and social harm",due to drugs crime is caused,0.018476860420522198
yes,yes,0.1778279410038923
no,yes,0
yes,yes,0.1778279410038923
"crime is caused by various factors, such as lack of education, poverty, joblessness, and inequality",crime is caused by drugs,0.16451929399933107
"drugs can cause multiple adverse effects, including increased likelihood of committing crime",crime,0.017033186037639283
"unemployment can cause severe economic hardship, social and emotional distress, and a decline in general well-being",unemployment causes crime,0.012300686288463768
"unemployment has a negative impact on individuals, communities, and the economy, as it results in reduced earnings, reduced purchasing power, reduced consumption, and a decrease in tax revenues",unemployment results in crime,0.015718877363021206
"unemployment has a devastating effect on individuals, families, and communities, causing economic hardship, reduced sense of security, and diminished opportunity",unemployment causes crime,0.009629943614188135
"unemployment leads to economic hardship, social isolation, and depression",unemployment leads to crime,0.11868405219520975
"factors associated with crime include poverty, lack of education, easy access to firearms, and social inequality",the factors associated with crime are unemployment,0.1531024544118244
"unemployment can lead to a decrease in the standard of living, reduce job security and cause psychological distress",due to unemployment crime is caused,0.01284618972676772
yes,yes,0.1778279410038923
no,yes,0
no,yes,0
"crime is caused by a variety of factors, such as poverty, lack of education, and social inequality",crime is caused by unemployment,0.1431712315455507
"unemployment can lead to increased levels of e-waste, technological disparity, and crime",crime,0.017033186037639283
"alcohol can impair judgement, coordination and reaction time, and can lead to increased risk-taking behavior",alcohol causes crime,0.013217947626377298
"alcohol can impair judgement, reduce inhibitions, and cause changes in behavior",alcohol results in crime,0.022416933501922302
"alcohol can cause drowsiness, impair judgement, and lead to overconfidence and increased risk-taking",alcohol causes crime,0.01553712569276035
"alcohol can lead to increased risk-taking, reduced inhibitions, impaired judgement, and other behaviors that can be harmful",alcohol leads to crime,0.013679192123121896
"the factors associated with crime include poverty, lack of education, unemployment, and access to firearms",the factors associated with crime are alcohol,0.2460137257692754
"alcohol can cause drunkenness, impair judgement, and lead to poor decisions",due to alcohol crime is caused,0.022416933501922302
no,yes,0
no,yes,0
yes,yes,0.1778279410038923
"crime is caused by several underlying factors such as poverty, inequality, and lack of opportunity",crime is caused by alcohol,0.16451929399933107
"alcohol can cause a range of problems, such as genetic engineering mishaps, technological addiction, and crime",crime,0.012300686288463768
"inequality can lead to poverty and social unrest, as well as erode trust and solidarity within societies",inequality causes crime,0.011502783619900045
"inequality has a number of impacts, including increased levels of stress, lowered life expectancy, and diminished economic mobility",inequality results in crime,0.010802314890908065
inequality can lead to increased social unrest and a decrease in overall economic growth,inequality causes crime,0.01428363257865929
"inequality leads to an unequal distribution of power, resources, and opportunities",inequality leads to crime,0.09329460218997072
"poverty, unemployment, lack of access to education and limited opportunities are some of the factors associated with crime",the factors associated with crime are inequality,0.21042990347620458
"inequality lead to an unfair distribution of resources, opportunities, and power",due to inequality crime is caused,0.022416933501922302
yes,yes,0.1778279410038923
no,yes,0
no,yes,0
" crime is caused by a multitude of factors, such as poverty, lack of education, and inequality",crime is caused by inequality,0.16188613565728213
"inequality causes poverty, violence, and lack of educational opportunity, which can lead to crime",crime,0.01428363257865929
"the effects of crime can range from victimization, property damage, and psychological distress to disruption of social order and economic turmoil",crime causes crime,0.00913442366656447
"crime has a wide-ranging impact on individuals, communities, and society as a whole, including psychological, economic, and social consequences",crime results in crime,0.010182425646195498
"crime has a negative impact on society, causing fear and creating an unstable environment",crime causes crime,0.01428363257865929
"crime often leads to negative consequences such as imprisonment, fines, and a tarnished reputation",crime leads to crime,0.03342866121562732
"poverty, inequality, and lack of access to education are all factors associated with crime",the factors associated with crime are crime,0.18798317647335086
"crime can lead to physical injuries, financial losses, and psychological trauma for victims and their families",due to crime crime is caused,0.014628063653657535
no,yes,0
no,yes,0
no,yes,0
"crime is caused by a combination of factors such as poverty, stress, lack of opportunity, and access to firearms",crime is caused by crime,0.12673718536830808
"crime causes disruption of peace, financial loss, injury and fear to citizens",crime,0.017033186037639283
prohibition leads to an increase in the illegal activities such as bootlegging and organized crime,prohibition causes crime,0.015718877363021206
"prohibition can lead to increased crime, a weakening of law enforcement, and a rise in the black market",prohibition results in crime,0.01284618972676772
